lr_id,source,target,18321_a,24774_d,54023_b,56784_c,comparability,n_ir_tested,n_aih_tested,n_ir_notNA,n_aih_notNA,irHep_mean,AIH_mean,irHep_min,irHep_max,AIH_min,AIH_max,log2FC,is_strict_eligible,coherent_strict_irHep,coherent_strict_AIH,coherent_strict,enriched_strict
CCL,Hepatocyte 2,CD8+ T cell 3,0.000238704718094358,0.000203799246388331,0.000175341442326718,8.7467288034277e-05,all4,2,2,2,2,0.000221251982241344,0.000131404365180498,0.000203799246388331,0.000238704718094358,8.7467288034277e-05,0.000175341442326718,0.751276557376376,TRUE,TRUE,FALSE,TRUE,irHepatitis
CSF,Hepatocyte 2,IgM+ B cell,6.81529335235728e-06,4.32075353509214e-06,3.04054691548534e-06,3.50444387705187e-06,all4,2,2,2,2,5.56802344372471e-06,3.2724953962686e-06,4.32075353509214e-06,6.81529335235728e-06,3.04054691548534e-06,3.50444387705187e-06,0.750782299333216,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,Macrophage 1,CD8+ T cell 3,0.000121057362379581,0.000159115333819815,9.79996579697887e-05,6.85969760194213e-05,all4,2,2,2,2,0.000140086348099698,8.3298316994605e-05,0.000121057362379581,0.000159115333819815,6.85969760194213e-05,9.79996579697887e-05,0.749326430198242,TRUE,TRUE,FALSE,TRUE,irHepatitis
FN1,Macrophage 2,IgM+ B cell,2.73008798124878e-05,3.31054703373427e-05,1.7810182259946e-05,1.80885516884406e-05,all4,2,2,2,2,3.02031750749152e-05,1.79493669741933e-05,2.73008798124878e-05,3.31054703373427e-05,1.7810182259946e-05,1.80885516884406e-05,0.74784713853015,TRUE,TRUE,FALSE,TRUE,irHepatitis
CSF,Hepatocyte 2,Stellate cell,1.40782445168034e-05,9.66098280860972e-06,4.86509648040697e-06,9.22391343253422e-06,all4,2,2,2,2,1.18696136627066e-05,7.0445049564706e-06,9.66098280860972e-06,1.40782445168034e-05,4.86509648040697e-06,9.22391343253422e-06,0.745293256139482,TRUE,TRUE,FALSE,TRUE,irHepatitis
FN1,Hepatocyte 2,Sinusoidal endothelial cell,0.000168412930354923,0.000217536345759888,0.000123028868918346,0.000108449918976712,all4,2,2,2,2,0.000192974638057406,0.000115739393947529,0.000168412930354923,0.000217536345759888,0.000108449918976712,0.000123028868918346,0.737083001749252,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,Hepatocyte 4,Macrophage 2,0.00018605439520593,0.000117455026714286,8.85039220983749e-05,9.3735016339199e-05,all4,2,2,2,2,0.000151754710960108,9.11194692187869e-05,0.000117455026714286,0.00018605439520593,8.85039220983749e-05,9.3735016339199e-05,0.735341738455402,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,IgM+ B cell,Macrophage 2,0.000101618829060009,8.73591306864948e-05,6.68976869185225e-05,4.70024797551903e-05,all4,2,2,2,2,9.4488979873252e-05,5.69500833368564e-05,8.73591306864948e-05,0.000101618829060009,4.70024797551903e-05,6.68976869185225e-05,0.729544439328727,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,Cholangiocyte,IgG+ plasmablast / plasma cell,8.31546245473427e-05,9.89242291301731e-05,0.000164149716876734,0.000136767513169867,all4,2,2,2,2,9.10394268387579e-05,0.0001504586150233,8.31546245473427e-05,9.89242291301731e-05,0.000136767513169867,0.000164149716876734,-0.724241127252802,TRUE,FALSE,TRUE,TRUE,AIH
VEGF,CD8+ T cell 3,Stellate cell,1.15168147878034e-05,1.43763793024104e-05,8.32858998349957e-06,7.29505140852432e-06,all4,2,2,2,2,1.29465970451069e-05,7.81182069601194e-06,1.15168147878034e-05,1.43763793024104e-05,7.29505140852432e-06,8.32858998349957e-06,0.722317106226607,TRUE,TRUE,FALSE,TRUE,irHepatitis
FN1,CD8+ T cell 2,Macrophage 1,0.000197370571473154,0.000225909373695189,0.000133946556230656,0.000122737537583761,all4,2,2,2,2,0.000211639972584171,0.000128342046907208,0.000197370571473154,0.000225909373695189,0.000122737537583761,0.000133946556230656,0.721220694869607,TRUE,TRUE,FALSE,TRUE,irHepatitis
CCL,CD8+ T cell 2,Stellate cell,8.52912608383568e-05,8.24050505688863e-05,4.76205143764187e-05,5.41743740147881e-05,all4,2,2,2,2,8.38481557036216e-05,5.08974441956034e-05,8.24050505688863e-05,8.52912608383568e-05,4.76205143764187e-05,5.41743740147881e-05,0.71918579035878,TRUE,TRUE,FALSE,TRUE,irHepatitis
