lr_id,source,target,18321_a,24774_d,54023_b,56784_c,comparability,n_ir_tested,n_aih_tested,n_ir_notNA,n_aih_notNA,irHep_mean,AIH_mean,irHep_min,irHep_max,AIH_min,AIH_max,log2FC,is_strict_eligible,coherent_strict_irHep,coherent_strict_AIH,coherent_strict,enriched_strict,enriched_presence
CCL3-CCR5,IgM+ B cell,Cholangiocyte,,,5.85245071047632e-07,,partial,0,1,0,1,,5.85245071047632e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,IgM+ B cell,Hepatocyte 1,,,5.3903933277709e-08,,partial,0,1,0,1,,5.3903933277709e-08,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,IgM+ B cell,Hepatocyte 2,,,9.78387100686995e-09,,partial,0,1,0,1,,9.78387100686995e-09,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,IgM+ B cell,Hepatocyte 4,,,2.15156194538978e-09,,partial,0,1,0,1,,2.15156194538978e-09,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,IgM+ B cell,Ig+ hepatocyte,,,3.71976132384602e-07,,partial,0,1,0,1,,3.71976132384602e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,IgM+ B cell,IgG+ B cell,,,2.61702022348055e-07,,partial,0,1,0,1,,2.61702022348055e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,IgM+ B cell,IgG+ plasmablast / plasma cell,,,3.87897259756372e-07,,partial,0,1,0,1,,3.87897259756372e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,IgM+ B cell,IgM+ B cell,,,3.08365946844998e-06,,partial,0,1,0,1,,3.08365946844998e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,IgM+ B cell,Macrophage 1,,,7.240301995031e-07,,partial,0,1,0,1,,7.240301995031e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,IgM+ B cell,Macrophage 2,,,8.32001116868737e-07,,partial,0,1,0,1,,8.32001116868737e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,IgM+ B cell,Sinusoidal endothelial cell,,,2.71297761220946e-07,,partial,0,1,0,1,,2.71297761220946e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,IgM+ B cell,Stellate cell,,,2.45133056671979e-07,,partial,0,1,0,1,,2.45133056671979e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,IgM+ B cell,Vascular endothelial cell,,,4.98642577663412e-07,,partial,0,1,0,1,,4.98642577663412e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 1,CD4+ T cell,,,3.01598301078611e-06,,partial,0,1,0,1,,3.01598301078611e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 1,CD8+ T cell 1,,,8.81722463298561e-06,,partial,0,1,0,1,,8.81722463298561e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 1,CD8+ T cell 2,,,1.10290915693534e-05,,partial,0,1,0,1,,1.10290915693534e-05,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 1,CD8+ T cell 3,,,6.86437503613534e-06,,partial,0,1,0,1,,6.86437503613534e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 1,Cholangiocyte,,,1.08658034939423e-06,,partial,0,1,0,1,,1.08658034939423e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 1,Hepatocyte 1,,,1.02764463542618e-06,,partial,0,1,0,1,,1.02764463542618e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 1,Hepatocyte 2,,,9.80425365342146e-07,,partial,0,1,0,1,,9.80425365342146e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 1,Hepatocyte 3,,,7.00390650564538e-07,,partial,0,1,0,1,,7.00390650564538e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 1,Hepatocyte 4,,,1.17249849559302e-06,,partial,0,1,0,1,,1.17249849559302e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 1,Ig+ hepatocyte,,,1.20878807810107e-06,,partial,0,1,0,1,,1.20878807810107e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 1,IgG+ B cell,,,7.02293793966936e-07,,partial,0,1,0,1,,7.02293793966936e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 1,IgG+ plasmablast / plasma cell,,,8.88634377542535e-07,,partial,0,1,0,1,,8.88634377542535e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 1,IgM+ B cell,,,2.14655247149194e-06,,partial,0,1,0,1,,2.14655247149194e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 1,Macrophage 1,,,5.31871605576005e-06,,partial,0,1,0,1,,5.31871605576005e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 1,Macrophage 2,,,1.62228877320168e-06,,partial,0,1,0,1,,1.62228877320168e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 1,Sinusoidal endothelial cell,,,2.33797283595395e-06,,partial,0,1,0,1,,2.33797283595395e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 1,Stellate cell,,,9.11712381096093e-07,,partial,0,1,0,1,,9.11712381096093e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 1,Vascular endothelial cell,,,5.37959915688451e-07,,partial,0,1,0,1,,5.37959915688451e-07,,,,,,FALSE,FALSE,FALSE,FALSE,,
CCL3-CCR5,Macrophage 2,CD4+ T cell,,,2.55944139701708e-06,,partial,0,1,0,1,,2.55944139701708e-06,,,,,,FALSE,FALSE,FALSE,FALSE,,
