lr_id,source,target,total_flow,mean_flow,n_source,n_target,sample_id,condition,kind
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 3,CD8+ T cell 1,0.225281261993306,7.25492814168241e-08,2173,1429,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 3,CD8+ T cell 2,0.115278132869717,4.57329501839648e-07,2173,116,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 3,CD8+ T cell 3,0.339242632960075,9.46164729559958e-07,2173,165,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 3,Cholangiocyte,0.0809821945889944,9.5070055726817e-08,2173,392,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 3,Hepatocyte 1,0.286797674994234,2.62129817457489e-08,2173,5035,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 3,IgG+ plasmablast / plasma cell,0.0197156896565486,6.17212783247357e-08,2173,147,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 3,IgM+ B cell,0.00264551196133607,3.73449947816915e-09,2173,326,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 3,Macrophage 1,0.30264626639623,8.22171064753135e-08,2173,1694,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 3,Sinusoidal endothelial cell,0.656638195831685,3.29172642578047e-07,2173,918,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 3,Stellate cell,0.0496124134167915,1.58002071400951e-08,2173,1445,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 4,CD4+ T cell,0.126027197193236,1.26487612101285e-06,138,722,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 4,CD8+ T cell 1,0.706195910508889,3.58107884559431e-06,138,1429,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 4,CD8+ T cell 3,0.24890250971483,1.09311598469403e-05,138,165,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 4,Cholangiocyte,0.00382122512893448,7.06378499137547e-08,138,392,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 4,Hepatocyte 1,0.00631034583034791,9.08185574938893e-09,138,5035,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 4,IgM+ B cell,0.000580936254828655,1.29131380552293e-08,138,326,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 4,Macrophage 1,0.113955591180208,4.8746467147566e-07,138,1694,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 4,Sinusoidal endothelial cell,0.00451324770324456,3.56260277797083e-08,138,918,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,Hepatocyte 4,Stellate cell,0.0161124700465155,8.08007123339628e-08,138,1445,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgG+ B cell,CD4+ T cell,0.163316759983858,9.87775103024456e-07,229,722,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgG+ B cell,CD8+ T cell 1,0.892218586081803,2.72648777531484e-06,229,1429,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgG+ B cell,CD8+ T cell 3,0.146890246556876,3.88752802850009e-06,229,165,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgG+ B cell,Cholangiocyte,0.0609119318005885,6.78548389187556e-07,229,392,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgG+ B cell,Hepatocyte 1,0.0447775723558652,3.88352036667912e-08,229,5035,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgG+ B cell,IgG+ plasmablast / plasma cell,0.00253492288070944,7.53029403413077e-08,229,147,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgG+ B cell,IgM+ B cell,0.040584232078963,5.43631045609921e-07,229,326,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgG+ B cell,Macrophage 1,0.770969892973039,1.98741484966988e-06,229,1694,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgG+ B cell,Stellate cell,0.0268365312983642,8.11004103847454e-08,229,1445,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgG+ plasmablast / plasma cell,CD4+ T cell,1.38245620720947,1.30255733997538e-05,147,722,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgG+ plasmablast / plasma cell,CD8+ T cell 1,1.71982895528683,8.18720553018297e-06,147,1429,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgG+ plasmablast / plasma cell,CD8+ T cell 2,0.00331936835780595,1.94661526964928e-07,147,116,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgG+ plasmablast / plasma cell,CD8+ T cell 3,0.190612678708567,7.8586962980238e-06,147,165,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgG+ plasmablast / plasma cell,Cholangiocyte,0.0546894392664935,9.49073984216533e-07,147,392,18321_a,irHepatitis,pair
IL15-IL15RA_IL2RB_IL2RG,IgG+ plasmablast / plasma cell,Hepatocyte 1,0.0701193080928324,9.47372583653641e-08,147,5035,18321_a,irHepatitis,pair
