lr_id,source,target,18321_a,24774_d,54023_b,56784_c,comparability,n_ir_tested,n_aih_tested,n_ir_notNA,n_aih_notNA,irHep_mean,AIH_mean,irHep_min,irHep_max,AIH_min,AIH_max,log2FC,is_strict_eligible,coherent_strict_irHep,coherent_strict_AIH,coherent_strict,enriched_strict,enriched_presence
VEGFA-FLT1,Macrophage 1,IgM+ B cell,1.36729516409043e-05,1.22075438027419e-05,2.46805434481826e-06,2.92720912786617e-06,all4,2,2,2,2,1.29402477218231e-05,2.69763173634221e-06,1.22075438027419e-05,1.36729516409043e-05,2.46805434481826e-06,2.92720912786617e-06,2.24251891663438,TRUE,TRUE,FALSE,TRUE,irHepatitis,
VEGFA-FLT1,Macrophage 2,Cholangiocyte,1.27722419833132e-05,3.55094482859953e-06,1.49104182859021e-06,1.88730604425904e-06,all4,2,2,2,2,8.16159340595639e-06,1.68917393642462e-06,3.55094482859953e-06,1.27722419833132e-05,1.49104182859021e-06,1.88730604425904e-06,2.24139373909934,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CSF1-CSF1R,Macrophage 1,Cholangiocyte,1.88443640049795e-05,1.21437244725407e-05,3.24218156857825e-06,3.23855759648983e-06,all4,2,2,2,2,1.54940442387601e-05,3.24036958253404e-06,1.21437244725407e-05,1.88443640049795e-05,3.23855759648983e-06,3.24218156857825e-06,2.24116776184214,TRUE,TRUE,FALSE,TRUE,irHepatitis,
MHC-I,CD8+ T cell 2,CD8+ T cell 2,0.00241763091105754,0.00332345110491138,0.000785455600238363,0.000430352095819588,all4,2,2,2,2,0.00287054100798446,0.000607903848028975,0.00241763091105754,0.00332345110491138,0.000430352095819588,0.000785455600238363,2.23932017939184,TRUE,TRUE,FALSE,TRUE,irHepatitis,
MHC-I,IgM+ B cell,CD4+ T cell,0.000566177424612663,0.000726412688281446,0.00011283107991705,0.000161214503700625,all4,2,2,2,2,0.000646295056447055,0.000137022791808838,0.000566177424612663,0.000726412688281446,0.00011283107991705,0.000161214503700625,2.2373893655055,TRUE,TRUE,FALSE,TRUE,irHepatitis,
VEGFA-FLT1,CD4+ T cell,CD8+ T cell 1,1.37746238725823e-05,7.61316189309593e-06,2.91779153922664e-06,1.55427354364267e-06,all4,2,2,2,2,1.06938928828391e-05,2.23603254143465e-06,7.61316189309593e-06,1.37746238725823e-05,1.55427354364267e-06,2.91779153922664e-06,2.23421985724369,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL14-CCR1,CD4+ T cell,CD8+ T cell 1,2.98774018234714e-05,2.03641627098339e-05,4.53019840010927e-06,6.07739958196265e-06,all4,2,2,2,2,2.51207822666526e-05,5.30379899103596e-06,2.03641627098339e-05,2.98774018234714e-05,4.53019840010927e-06,6.07739958196265e-06,2.23380700085116,TRUE,TRUE,FALSE,TRUE,irHepatitis,
MHC-I,IgM+ B cell,Cholangiocyte,0.000169119509479416,0.000118771163588973,3.26076691638217e-05,2.85453108675149e-05,all4,2,2,2,2,0.000143945336534194,3.05764900156683e-05,0.000118771163588973,0.000169119509479416,2.85453108675149e-05,3.26076691638217e-05,2.23329105128839,TRUE,TRUE,FALSE,TRUE,irHepatitis,
CCL16-CCR1,IgG+ B cell,CD4+ T cell,8.06147874330859e-06,4.01036057685652e-06,5.11947270580721e-07,1.98626155551902e-06,all4,2,2,2,2,6.03591966008256e-06,1.24910441304987e-06,4.01036057685652e-06,8.06147874330859e-06,5.11947270580721e-07,1.98626155551902e-06,2.23080954807174,TRUE,TRUE,FALSE,TRUE,irHepatitis,
IL15-IL15RA_IL2RB_IL2RG,Macrophage 2,Hepatocyte 1,7.41737503889019e-08,1.46472623734539e-08,4.64041985798183e-07,2.96126280187469e-07,all4,2,2,2,2,4.44105063811779e-08,3.80084132992826e-07,1.46472623734539e-08,7.41737503889019e-08,2.96126280187469e-07,4.64041985798183e-07,-2.22731596073109,TRUE,FALSE,TRUE,TRUE,AIH,
HLA-B-CD8A,Cholangiocyte,Macrophage 1,0.00012024873671641,3.9329672700747e-05,1.83041446197438e-05,1.57032233430668e-05,all4,2,2,2,2,7.97892047085785e-05,1.70036839814053e-05,3.9329672700747e-05,0.00012024873671641,1.57032233430668e-05,1.83041446197438e-05,2.22723080900122,TRUE,TRUE,FALSE,TRUE,irHepatitis,
HLA-B-CD8A,Macrophage 1,IgG+ B cell,4.78084203401541e-05,6.64478589031945e-05,1.74664473056498e-05,6.93640864057054e-06,all4,2,2,2,2,5.71281396216743e-05,1.22014279731101e-05,4.78084203401541e-05,6.64478589031945e-05,6.93640864057054e-06,1.74664473056498e-05,2.22281542583233,TRUE,TRUE,FALSE,TRUE,irHepatitis,
HLA-B-CD8A,Vascular endothelial cell,IgG+ B cell,0.000158962397666112,8.82639259288412e-05,2.41109143737154e-05,2.87910490930315e-05,all4,2,2,2,2,0.000123613161797477,2.64509817333734e-05,8.82639259288412e-05,0.000158962397666112,2.41109143737154e-05,2.87910490930315e-05,2.22243752636814,TRUE,TRUE,FALSE,TRUE,irHepatitis,
MHC-I,Hepatocyte 1,Hepatocyte 3,7.92907765356988e-06,1.46022087632947e-05,8.02517120035551e-05,2.52298096117457e-05,all4,2,2,2,2,1.12656432084323e-05,5.27407608076504e-05,7.92907765356988e-06,1.46022087632947e-05,2.52298096117457e-05,8.02517120035551e-05,-2.22229344067032,TRUE,FALSE,TRUE,TRUE,AIH,
CCL5-CCR1,Cholangiocyte,Vascular endothelial cell,1.87463336544596e-05,7.20909799801005e-06,3.27237627175819e-06,2.22363767250744e-06,all4,2,2,2,2,1.29777158262348e-05,2.74800697213281e-06,7.20909799801005e-06,1.87463336544596e-05,2.22363767250744e-06,3.27237627175819e-06,2.22043341510367,TRUE,TRUE,FALSE,TRUE,irHepatitis,
VEGFA-FLT1,Macrophage 1,Macrophage 2,8.98187443251409e-06,1.47745640414433e-05,2.72260933617756e-06,2.30380654625318e-06,all4,2,2,2,2,1.18782192369787e-05,2.51320794121537e-06,8.98187443251409e-06,1.47745640414433e-05,2.30380654625318e-06,2.72260933617756e-06,2.21979784328351,TRUE,TRUE,FALSE,TRUE,irHepatitis,
MHC-I,CD8+ T cell 3,CD4+ T cell,0.000273200016422273,0.000130412066919746,4.66432482532268e-05,4.02932972535221e-05,all4,2,2,2,2,0.000201806041671009,4.34682727533744e-05,0.000130412066919746,0.000273200016422273,4.02932972535221e-05,4.66432482532268e-05,2.2137183373844,TRUE,TRUE,FALSE,TRUE,irHepatitis,
HLA-B-CD8A,CD8+ T cell 2,CD4+ T cell,0.000135538076349621,2.91371017678459e-05,1.82288810916186e-05,1.72417661256022e-05,all4,2,2,2,2,8.23375890587334e-05,1.77353236086104e-05,2.91371017678459e-05,0.000135538076349621,1.72417661256022e-05,1.82288810916186e-05,2.21194716258523,TRUE,TRUE,FALSE,TRUE,irHepatitis,
FN1-CD44,CD4+ T cell,Hepatocyte 2,1.03182768970362e-07,5.685612713597e-08,4.70521808687876e-07,6.09488654742962e-07,all4,2,2,2,2,8.00194480531659e-08,5.40005231715419e-07,5.685612713597e-08,1.03182768970362e-07,4.70521808687876e-07,6.09488654742962e-07,-2.21063862663641,TRUE,FALSE,TRUE,TRUE,AIH,
