cluster,n_cells,marker,marker_class,mean_logexpr,pct_cells_pos,mean_trm_score,pct_high
Hepatocyte 1,22094,ZNF683,TRM,0.0422533194758049,1.04553272381642,1.0718283587475,89.7030868108989
Hepatocyte 4,2356,CXCR6,TRM,0.163314835106213,4.20203735144312,1.05213702886229,87.4363327674024
Hepatocyte 4,2356,ITGA1,TRM,4.5409580955217,85.6960950764007,1.05213702886229,87.4363327674024
Hepatocyte 4,2356,ITGAE,TRM,0.302158417675201,7.89473684210526,1.05213702886229,87.4363327674024
Hepatocyte 4,2356,RUNX3,TRM,0.215698845653806,5.73005093378608,1.05213702886229,87.4363327674024
Hepatocyte 4,2356,ZNF683,TRM,0.0385549503545196,1.01867572156197,1.05213702886229,87.4363327674024
Stellate cell,13248,CXCR6,TRM,0.219887473233707,4.31763285024155,1.00953491260937,70.0860507246377
Stellate cell,13248,ITGA1,TRM,4.22564283534294,65.919384057971,1.00953491260937,70.0860507246377
Stellate cell,13248,ITGAE,TRM,0.2330325928478,4.61201690821256,1.00953491260937,70.0860507246377
Stellate cell,13248,RUNX3,TRM,0.322249896357343,6.25,1.00953491260937,70.0860507246377
Stellate cell,13248,ZNF683,TRM,0.0468617652650351,0.890700483091787,1.00953491260937,70.0860507246377
Sinusoidal endothelial cell,5231,CXCR6,TRM,0.266324434111997,5.4482890460715,0.818498269367472,60.714968457274
Sinusoidal endothelial cell,5231,ITGA1,TRM,3.2424774069961,55.8975339323265,0.818498269367472,60.714968457274
Sinusoidal endothelial cell,5231,ITGAE,TRM,0.248296439290138,5.12330338367425,0.818498269367472,60.714968457274
Sinusoidal endothelial cell,5231,RUNX3,TRM,0.292207035088671,5.92620913783216,0.818498269367472,60.714968457274
Sinusoidal endothelial cell,5231,ZNF683,TRM,0.0431860313504541,0.841139361498757,0.818498269367472,60.714968457274
CD4+ T cell,8259,CXCR6,TRM,0.682668291231785,12.313839447875,0.772740872445841,52.3307906526214
CD4+ T cell,8259,ITGA1,TRM,0.954186912893726,17.5444969124591,0.772740872445841,52.3307906526214
CD4+ T cell,8259,ITGAE,TRM,0.32985070585806,6.13875771885216,0.772740872445841,52.3307906526214
CD4+ T cell,8259,RUNX3,TRM,1.72127278526351,30.8390846349437,0.772740872445841,52.3307906526214
CD4+ T cell,8259,ZNF683,TRM,0.175725666982117,3.11175687129192,0.772740872445841,52.3307906526214
Ig+ hepatocyte,735,CXCR6,TRM,0.251428596059944,5.71428571428571,0.714446396164786,58.7755102040816
Ig+ hepatocyte,735,ITGA1,TRM,2.62644728526621,51.4285714285714,0.714446396164786,58.7755102040816
Ig+ hepatocyte,735,ITGAE,TRM,0.284308042919882,6.25850340136055,0.714446396164786,58.7755102040816
Ig+ hepatocyte,735,RUNX3,TRM,0.351238787693918,7.48299319727891,0.714446396164786,58.7755102040816
Ig+ hepatocyte,735,ZNF683,TRM,0.0588092688839714,1.36054421768707,0.714446396164786,58.7755102040816
Hepatocyte 2,11781,CXCR6,TRM,0.087625295774071,1.71462524403701,0.707049049473475,58.407605466429
Hepatocyte 2,11781,ITGA1,TRM,3.23696492202516,56.2600797894916,0.707049049473475,58.407605466429
Hepatocyte 2,11781,ITGAE,TRM,0.106047926107421,2.05415499533147,0.707049049473475,58.407605466429
Hepatocyte 2,11781,RUNX3,TRM,0.0879705487627068,1.72311348781937,0.707049049473475,58.407605466429
Hepatocyte 2,11781,ZNF683,TRM,0.0166365546980171,0.314065019947373,0.707049049473475,58.407605466429
IgM+ B cell,3727,CXCR6,TRM,0.30799529113247,6.14435202575798,0.621120167348795,45.505768714784
IgM+ B cell,3727,ITGA1,TRM,1.00848236658273,19.2379930238798,0.621120167348795,45.505768714784
IgM+ B cell,3727,ITGAE,TRM,0.380097919401612,7.56640729809498,0.621120167348795,45.505768714784
IgM+ B cell,3727,RUNX3,TRM,1.33965619161987,25.3555138180843,0.621120167348795,45.505768714784
IgM+ B cell,3727,ZNF683,TRM,0.0693690680072966,1.31473034612289,0.621120167348795,45.505768714784
Vascular endothelial cell,4006,CXCR6,TRM,0.141448397559469,2.59610584123814,0.565309702034499,42.2116824762856
