cluster,n_cells,marker,marker_class,mean_logexpr,pct_cells_pos,mean_ifn_score,pct_high
Macrophage 2,12597,ISG15,IFN-response,0.60354945828746,10.0579503056283,1.70745066454888,78.0741446376121
Macrophage 2,12597,MX1,IFN-response,1.19411395775075,19.7586726998492,1.70745066454888,78.0741446376121
Macrophage 2,12597,STAT1,IFN-response,4.18552806339108,62.1100261967135,1.70745066454888,78.0741446376121
Stellate cell,13248,IDO1,IFN-response,0.331811128742652,6.07638888888889,1.60525129556125,76.7663043478261
Stellate cell,13248,IRF1,IFN-response,1.5889750614289,29.068538647343,1.60525129556125,76.7663043478261
Stellate cell,13248,ISG15,IFN-response,0.975294163090665,17.6328502415459,1.60525129556125,76.7663043478261
Stellate cell,13248,MX1,IFN-response,1.31392985664992,24.0489130434783,1.60525129556125,76.7663043478261
Stellate cell,13248,STAT1,IFN-response,3.8162462678941,61.6923309178744,1.60525129556125,76.7663043478261
IgM+ B cell,3727,IDO1,IFN-response,0.574551500028264,10.3568553796619,1.59402858207256,77.3544405688221
IgM+ B cell,3727,IRF1,IFN-response,2.1374319680606,39.1735980681513,1.59402858207256,77.3544405688221
IgM+ B cell,3727,ISG15,IFN-response,0.427704010709493,8.45183793936142,1.59402858207256,77.3544405688221
IgM+ B cell,3727,MX1,IFN-response,1.43750971369865,27.2605312583848,1.59402858207256,77.3544405688221
IgM+ B cell,3727,STAT1,IFN-response,3.39294571786579,56.8553796619265,1.59402858207256,77.3544405688221
Hepatocyte 3,5347,IDO1,IFN-response,0.0714401144095348,0.991210024312699,1.47474924352856,63.7366747708996
Hepatocyte 3,5347,IRF1,IFN-response,0.647340812771552,9.23882550963157,1.47474924352856,63.7366747708996
Hepatocyte 3,5347,ISG15,IFN-response,1.86880213366464,24.9111651393305,1.47474924352856,63.7366747708996
Hepatocyte 3,5347,MX1,IFN-response,1.65051564768772,22.3489807368618,1.47474924352856,63.7366747708996
Hepatocyte 3,5347,STAT1,IFN-response,3.13564750910936,42.4350102861418,1.47474924352856,63.7366747708996
Vascular endothelial cell,4006,IDO1,IFN-response,0.274564566859374,4.66799800299551,1.33297718127402,66.6250624063904
Vascular endothelial cell,4006,IRF1,IFN-response,1.33598242199963,23.2151772341488,1.33297718127402,66.6250624063904
Vascular endothelial cell,4006,ISG15,IFN-response,0.783612583647223,13.7044433349975,1.33297718127402,66.6250624063904
Vascular endothelial cell,4006,MX1,IFN-response,1.36980693485837,22.9405891163255,1.33297718127402,66.6250624063904
Vascular endothelial cell,4006,STAT1,IFN-response,2.90091939900553,47.1792311532701,1.33297718127402,66.6250624063904
IgG+ B cell,4997,IDO1,IFN-response,0.184135314202305,2.88172903742245,0.818708571195896,49.62977786672
IgG+ B cell,4997,IRF1,IFN-response,1.09557696196484,17.2503502101261,0.818708571195896,49.62977786672
IgG+ B cell,4997,ISG15,IFN-response,0.221101988611538,3.48208925355213,0.818708571195896,49.62977786672
IgG+ B cell,4997,MX1,IFN-response,0.437573362993916,7.00420252151291,0.818708571195896,49.62977786672
IgG+ B cell,4997,STAT1,IFN-response,2.15515522820688,32.8196918150891,0.818708571195896,49.62977786672
