source,target,ligand,receptor,irH_mean,AIH_mean,log2FC,enrich_strength,coherent,direction,irH_s1,irH_s2,AIH_s1,AIH_s2,abs_log2FC
Hepatocyte 1,CD4+ T cell,HLA-B,CD3D,1.29917262303729,2.16306068269048,-0.731073123647756,2.16306068269048,TRUE,AIH,1.46077548128676,1.13756976478783,2.10666457311258,2.21945679226839,0.731073123647756
IgM+ B cell,Sinusoidal endothelial cell,LTB,CD40,1.3039397711222,2.22125285132679,-0.763954866404212,2.22125285132679,TRUE,AIH,1.26034990676034,1.34752963548406,1.90966912868177,2.5328365739718,0.763954866404212
IgG+ B cell,Hepatocyte 4,DCN,MET,1.15959305655574,2.0824287761655,-0.839171864277234,2.0824287761655,TRUE,AIH,0.974522968170627,1.34466314494086,2.10666457311258,2.05819297921842,0.839171864277234
Hepatocyte 1,CD4+ T cell,ICAM1,IL2RG,1.14651403738543,2.16306068269048,-0.909945685285115,2.16306068269048,TRUE,AIH,1.10683632149805,1.18619175327281,2.10666457311258,2.21945679226839,0.909945685285115
Hepatocyte 2,CD4+ T cell,HLA-B,CD3D,1.07800022158402,2.16306068269048,-0.998049611911359,2.16306068269048,TRUE,AIH,1.2323530125013,0.923647430666738,2.10666457311258,2.21945679226839,0.998049611911359
CD8+ T cell 2,Cholangiocyte,FASLG,FAS,1.02650221214848,2.07087535562011,-1.00546735475213,2.07087535562011,TRUE,AIH,1.11600974530876,0.936994678988203,2.10666457311258,2.03508613812765,1.00546735475213
CD8+ T cell 2,Cholangiocyte,TGFB1,EGFR,0.777429876271404,1.60811734785828,-1.0390928809156,1.60811734785828,TRUE,AIH,0.496400551857602,1.05845920068521,1.94622526558976,1.2700094301268,1.0390928809156
CD4+ T cell,Hepatocyte 1,LTB,CD40,1.16023905932958,2.41943408969179,-1.05381701558441,2.41943408969179,TRUE,AIH,1.33730327542542,0.983174843233729,2.10666457311258,2.732203606271,1.05381701558441
Cholangiocyte,CD8+ T cell 3,S100A9,CD68,0.26135025539855,0.559813288453755,-1.07033300016996,0.559813288453755,TRUE,AIH,0.283274706141884,0.239425804655217,0.76013066615863,0.35949591074888,1.07033300016996
Hepatocyte 1,CD4+ T cell,CCL16,CCR1,1.01609801333708,2.16306068269048,-1.08255991792454,2.16306068269048,TRUE,AIH,2.03219602667415,0,2.10666457311258,2.21945679226839,1.08255991792454
CD4+ T cell,Hepatocyte 1,CD40LG,CD40,1.08329307178601,2.30636498644003,-1.08318240821234,2.30636498644003,TRUE,AIH,1.11600974530876,1.05057639826325,2.17735597940896,2.4353739934711,1.08318240821234
CD4+ T cell,Sinusoidal endothelial cell,LTB,CD40,1.24024435101024,2.66770337732291,-1.09878606840525,2.66770337732291,TRUE,AIH,1.54349402303229,0.936994678988203,2.10666457311258,3.22874218153325,1.09878606840525
CD4+ T cell,Sinusoidal endothelial cell,CD40LG,CD40,1.10782132691034,2.40570434958326,-1.11175429303162,2.40570434958326,TRUE,AIH,1.15169925847214,1.06394339534854,1.92419249113877,2.88721620802775,1.11175429303162
