cluster,marker,marker_class,mean_logexpr_per_cluster,pct_cells_pos
IgG+ B cell,ITGAE,TRM,0.215034410449314,3.38202921753052
IgG+ plasmablast / plasma cell,ITGAE,TRM,0.393530742827116,8.23643410852713
IgM+ B cell,ITGAE,TRM,0.380097919401612,7.56640729809498
Macrophage 1,ITGAE,TRM,0.459435071593173,9.89830956154252
Macrophage 2,ITGAE,TRM,0.248603752754617,4.31848852901484
Sinusoidal endothelial cell,ITGAE,TRM,0.248296439290138,5.12330338367425
Stellate cell,ITGAE,TRM,0.2330325928478,4.61201690821256
Vascular endothelial cell,ITGAE,TRM,0.213539436715202,3.94408387418872
CD4+ T cell,CXCR6,TRM,0.682668291231785,12.313839447875
CD8+ T cell 1,CXCR6,TRM,2.21156576142779,40.1578009671672
CD8+ T cell 2,CXCR6,TRM,2.14586135735011,42.6807760141094
CD8+ T cell 3,CXCR6,TRM,1.60371524608063,32.0375335120643
Cholangiocyte,CXCR6,TRM,0.28212657374048,5.76801517067004
Hepatocyte 1,CXCR6,TRM,0.143710279633923,3.76572825201412
Hepatocyte 2,CXCR6,TRM,0.087625295774071,1.71462524403701
Hepatocyte 3,CXCR6,TRM,0.0900670931756726,1.30914531512998
Hepatocyte 4,CXCR6,TRM,0.163314835106213,4.20203735144312
Ig+ hepatocyte,CXCR6,TRM,0.251428596059944,5.71428571428571
IgG+ B cell,CXCR6,TRM,0.188747712780075,3.00180108064839
IgG+ plasmablast / plasma cell,CXCR6,TRM,0.292798612564681,6.18540051679587
IgM+ B cell,CXCR6,TRM,0.30799529113247,6.14435202575798
Macrophage 1,CXCR6,TRM,0.379730012480015,8.27390385631273
Macrophage 2,CXCR6,TRM,0.183928291831597,3.16742081447964
Sinusoidal endothelial cell,CXCR6,TRM,0.266324434111997,5.4482890460715
Stellate cell,CXCR6,TRM,0.219887473233707,4.31763285024155
Vascular endothelial cell,CXCR6,TRM,0.141448397559469,2.59610584123814
CD4+ T cell,RUNX3,TRM,1.72127278526351,30.8390846349437
CD8+ T cell 1,RUNX3,TRM,2.034073998401,37.9485874268262
CD8+ T cell 2,RUNX3,TRM,1.37419409955062,28.641975308642
CD8+ T cell 3,RUNX3,TRM,2.14844019312018,42.5603217158177
Cholangiocyte,RUNX3,TRM,0.565485982392852,11.2989886219975
Hepatocyte 1,RUNX3,TRM,0.173515815914226,4.45822395220422
Hepatocyte 2,RUNX3,TRM,0.0879705487627068,1.72311348781937
Hepatocyte 3,RUNX3,TRM,0.0963416023358711,1.44005984664298
Hepatocyte 4,RUNX3,TRM,0.215698845653806,5.73005093378608
Ig+ hepatocyte,RUNX3,TRM,0.351238787693918,7.48299319727891
IgG+ B cell,RUNX3,TRM,0.356859296144375,5.74344606764058
IgG+ plasmablast / plasma cell,RUNX3,TRM,0.793759200655236,16.6343669250646
IgM+ B cell,RUNX3,TRM,1.33965619161987,25.3555138180843
Macrophage 1,RUNX3,TRM,0.847863135710428,18.3042789223455
Macrophage 2,RUNX3,TRM,0.657918550251078,11.4471699611018
Sinusoidal endothelial cell,RUNX3,TRM,0.292207035088671,5.92620913783216
Stellate cell,RUNX3,TRM,0.322249896357343,6.25
Vascular endothelial cell,RUNX3,TRM,0.22591171738094,4.21867199201198
