source,target,pathway_label,direction,log2FC,p_perm,BH_FDR
Ig+ hepatocyte,Macrophage 2,FN1,AIH,-7.87451553682646,0.00100286648697995,0.00289071096690355
Stellate cell,Macrophage 2,CXCL_CXCR4,AIH,-7.86667804379576,0.0099009900990099,0.010590318772137
Vascular endothelial cell,IgG+ B cell,FN1,AIH,-7.86386562078056,0.0099009900990099,0.010590318772137
Cholangiocyte,IgG+ B cell,FN1,AIH,-7.84684800875618,0.0099009900990099,0.010590318772137
Hepatocyte 1,CD8+ T cell 2,CXCL_CXCR6,AIH,-7.84259745479585,0.00100286648697995,0.00289071096690355
Stellate cell,Hepatocyte 3,FN1,AIH,-7.83154362527886,0.0099009900990099,0.010590318772137
Hepatocyte 4,IgG+ B cell,FN1,AIH,-7.82715859562671,0.0099009900990099,0.010590318772137
CD8+ T cell 2,Macrophage 2,FN1,AIH,-7.81289700604728,0.00100286648697995,0.00289071096690355
Stellate cell,Sinusoidal endothelial cell,CSF,AIH,-7.79960594328693,0.00100286648697995,0.00289071096690355
Hepatocyte 2,Sinusoidal endothelial cell,CCL_CCR1,AIH,-7.74791544258463,0.00100286648697995,0.00289071096690355
CD8+ T cell 2,CD8+ T cell 1,FN1,AIH,-7.74357414475314,0.0099009900990099,0.010590318772137
Hepatocyte 4,Sinusoidal endothelial cell,FN1,AIH,-7.74044810812571,0.00100286648697995,0.00289071096690355
Ig+ hepatocyte,Macrophage 1,FN1,AIH,-7.73727371674821,0.0099009900990099,0.010590318772137
Stellate cell,CD8+ T cell 2,FN1,AIH,-7.72147137838311,0.0099009900990099,0.010590318772137
Ig+ hepatocyte,CD8+ T cell 1,FN1,AIH,-7.70215073196612,0.0099009900990099,0.010590318772137
CD8+ T cell 1,Stellate cell,CSF,AIH,-7.6999852364715,0.00100286648697995,0.00289071096690355
Macrophage 1,Macrophage 1,CCL_CCR1,AIH,-7.67068522940337,0.00100286648697995,0.00289071096690355
Hepatocyte 2,Stellate cell,FN1,AIH,-7.64971467138745,0.00100286648697995,0.00289071096690355
Hepatocyte 4,CD8+ T cell 1,FN1,AIH,-7.63056301826352,0.0099009900990099,0.010590318772137
CD8+ T cell 2,IgG+ B cell,FN1,AIH,-7.62315554939548,0.0099009900990099,0.010590318772137
CD8+ T cell 2,Sinusoidal endothelial cell,FN1,AIH,-7.53333135272876,0.00100286648697995,0.00289071096690355
Hepatocyte 4,Sinusoidal endothelial cell,CCL_CCR1,AIH,-7.53249638530151,0.00100286648697995,0.00289071096690355
CD4+ T cell,CD4+ T cell,CD86,AIH,-7.52339514080562,0.00100286648697995,0.00289071096690355
CD8+ T cell 3,Cholangiocyte,FN1,AIH,-7.48862187212708,0.0099009900990099,0.010590318772137
Stellate cell,CD8+ T cell 3,FN1,AIH,-7.44546929633644,0.0099009900990099,0.010590318772137
CD8+ T cell 2,Sinusoidal endothelial cell,CSF,AIH,-7.41994244439921,0.00100286648697995,0.00289071096690355
Sinusoidal endothelial cell,Macrophage 1,CCL_CCR1,AIH,-7.40396837336506,0.0099009900990099,0.010590318772137
Vascular endothelial cell,Ig+ hepatocyte,FN1,AIH,-7.35877968206166,0.0099009900990099,0.010590318772137
CD8+ T cell 1,Macrophage 1,LCK,AIH,-7.35713031180421,0.0099009900990099,0.010590318772137
Hepatocyte 4,Stellate cell,FN1,AIH,-7.35702299064343,0.00100286648697995,0.00289071096690355
Cholangiocyte,Cholangiocyte,NCAM,AIH,-7.34636107939298,0.0099009900990099,0.010590318772137
Vascular endothelial cell,Hepatocyte 1,FN1,AIH,-7.30175018560326,0.0099009900990099,0.010590318772137
CD8+ T cell 3,Hepatocyte 3,FN1,AIH,-7.2614699979679,0.0099009900990099,0.010590318772137
Macrophage 1,Macrophage 2,CXCL_CXCR4,AIH,-7.24484378723448,0.0099009900990099,0.010590318772137
Hepatocyte 1,Sinusoidal endothelial cell,CSF,AIH,-7.24103009814573,0.00100286648697995,0.00289071096690355
Sinusoidal endothelial cell,Stellate cell,CCL_CCR1,AIH,-7.2285308207514,0.00100286648697995,0.00289071096690355
CD8+ T cell 1,Macrophage 2,CXCL_CXCR4,AIH,-7.22520289284824,0.0099009900990099,0.010590318772137
Vascular endothelial cell,IgM+ B cell,CCL_CCR1,AIH,-7.20827387525884,0.00100286648697995,0.00289071096690355
IgG+ plasmablast / plasma cell,Hepatocyte 1,FN1,AIH,-7.20394776115931,0.0099009900990099,0.010590318772137
IgG+ plasmablast / plasma cell,CD4+ T cell,CD86,AIH,-7.19145289866637,0.00100286648697995,0.00289071096690355
Ig+ hepatocyte,Stellate cell,FN1,AIH,-7.16363900729742,0.00100286648697995,0.00289071096690355
Hepatocyte 1,CD8+ T cell 1,CXCL_CXCR6,AIH,-7.16048240140042,0.00100286648697995,0.00289071096690355
Ig+ hepatocyte,CD8+ T cell 3,CCL_CCR1,AIH,-7.15784837251774,0.00100286648697995,0.00289071096690355
Macrophage 2,Macrophage 2,CXCL_CXCR4,AIH,-7.15293792334016,0.0099009900990099,0.010590318772137
Vascular endothelial cell,Hepatocyte 2,FN1,AIH,-7.15243938800116,0.0099009900990099,0.010590318772137
Hepatocyte 3,IgG+ B cell,FN1,AIH,-7.14190318433961,0.0099009900990099,0.010590318772137
Hepatocyte 2,CD8+ T cell 2,CXCL_CXCR6,AIH,-7.12901656386385,0.0099009900990099,0.010590318772137
IgG+ plasmablast / plasma cell,Ig+ hepatocyte,FN1,AIH,-7.10056322664008,0.0099009900990099,0.010590318772137
Hepatocyte 2,Macrophage 1,CSF,AIH,-7.06785498571829,0.00100286648697995,0.00289071096690355
CD8+ T cell 2,Stellate cell,FN1,AIH,-7.06409381187411,0.00100286648697995,0.00289071096690355
CD8+ T cell 2,Sinusoidal endothelial cell,CCL_CCR1,AIH,-7.0339625243032,0.00100286648697995,0.00289071096690355
CD4+ T cell,Macrophage 2,CXCL_CXCR4,AIH,-6.99755151381588,0.0099009900990099,0.010590318772137
Stellate cell,Macrophage 2,CCL_CCR2,AIH,-6.97998896096041,0.00100286648697995,0.00289071096690355
Hepatocyte 1,CD8+ T cell 3,CSF,AIH,-6.9783061588835,0.00100286648697995,0.00289071096690355
Vascular endothelial cell,Hepatocyte 4,FN1,AIH,-6.96849588994867,0.0099009900990099,0.010590318772137
Cholangiocyte,IgM+ B cell,CCL_CCR2,AIH,-6.91609775357641,0.00100286648697995,0.00289071096690355
Hepatocyte 3,CD8+ T cell 3,FN1,AIH,-6.89250282335521,0.03,0.0303382187147689
Cholangiocyte,Macrophage 2,CCL_CCR2,AIH,-6.8645137771985,0.00100286648697995,0.00289071096690355
IgG+ plasmablast / plasma cell,Hepatocyte 2,FN1,AIH,-6.85512441125478,0.0099009900990099,0.010590318772137
Hepatocyte 1,Hepatocyte 2,CEACAM,AIH,-6.84840895984805,0.00100286648697995,0.00289071096690355
Vascular endothelial cell,CD8+ T cell 2,FN1,AIH,-6.83572335054951,0.0099009900990099,0.010590318772137
Hepatocyte 4,Sinusoidal endothelial cell,CSF,AIH,-6.8287673870698,0.00100286648697995,0.00289071096690355
