sample,x0,y0,n_hep,n_cd4,hep_with_cd4,cd4_with_hep,cd4_at_interface_frac,contact_frac,intersperse_score
56784_c,13550.40965271,-9630.37451171875,65,59,15,8,0.135593220338983,0.230769230769231,8
56784_c,13550.40965271,-9330.37451171875,112,69,49,19,0.27536231884058,0.4375,19
56784_c,13550.40965271,-9280.37451171875,82,118,37,15,0.127118644067797,0.451219512195122,15
56784_c,13550.40965271,-9080.37451171875,69,177,23,10,0.0564971751412429,0.333333333333333,10
56784_c,13550.40965271,-9030.37451171875,101,123,23,10,0.0813008130081301,0.227722772277228,10
56784_c,13600.40965271,-9280.37451171875,98,82,48,17,0.207317073170732,0.489795918367347,17
56784_c,13600.40965271,-9230.37451171875,71,119,32,15,0.126050420168067,0.450704225352113,15
56784_c,13600.40965271,-9130.37451171875,64,133,11,10,0.075187969924812,0.171875,10
56784_c,13600.40965271,-9080.37451171875,99,108,24,11,0.101851851851852,0.242424242424242,11
56784_c,13600.40965271,-9030.37451171875,138,72,24,11,0.152777777777778,0.173913043478261,11
56784_c,13650.40965271,-9680.37451171875,80,66,25,8,0.121212121212121,0.3125,8
56784_c,13650.40965271,-9280.37451171875,105,64,60,22,0.34375,0.571428571428571,22
56784_c,13650.40965271,-9230.37451171875,88,78,39,18,0.230769230769231,0.443181818181818,18
56784_c,13650.40965271,-9180.37451171875,79,80,26,16,0.2,0.329113924050633,16
56784_c,13650.40965271,-9130.37451171875,83,75,8,9,0.12,0.0963855421686747,9
56784_c,13650.40965271,-9080.37451171875,123,55,19,7,0.127272727272727,0.154471544715447,7
56784_c,13700.40965271,-9730.37451171875,63,69,10,4,0.0579710144927536,0.158730158730159,4
56784_c,14050.40965271,-8780.37451171875,114,51,26,25,0.490196078431373,0.228070175438597,25
56784_c,14050.40965271,-8730.37451171875,86,54,26,25,0.462962962962963,0.302325581395349,25
56784_c,14100.40965271,-8780.37451171875,99,61,25,25,0.409836065573771,0.252525252525253,25
56784_c,14100.40965271,-8730.37451171875,71,64,25,25,0.390625,0.352112676056338,25
56784_c,14150.40965271,-8830.37451171875,126,50,15,16,0.32,0.119047619047619,16
56784_c,14150.40965271,-8780.37451171875,89,65,17,21,0.323076923076923,0.191011235955056,21
56784_c,14150.40965271,-8730.37451171875,62,68,17,21,0.308823529411765,0.274193548387097,21
56784_c,14200.40965271,-8830.37451171875,122,51,12,15,0.294117647058824,0.0983606557377049,15
56784_c,14200.40965271,-8780.37451171875,96,59,12,17,0.288135593220339,0.125,17
56784_c,14200.40965271,-8730.37451171875,69,59,12,17,0.288135593220339,0.173913043478261,17
56784_c,14350.40965271,-8730.37451171875,116,50,25,20,0.4,0.21551724137931,20
56784_c,14350.40965271,-8680.37451171875,76,52,24,21,0.403846153846154,0.315789473684211,21
56784_c,15800.40965271,-8930.37451171875,67,74,28,13,0.175675675675676,0.417910447761194,13
56784_c,15800.40965271,-8880.37451171875,109,65,50,16,0.246153846153846,0.458715596330275,16
56784_c,15800.40965271,-8830.37451171875,152,51,57,15,0.294117647058824,0.375,15
56784_c,15850.40965271,-8880.37451171875,92,73,32,14,0.191780821917808,0.347826086956522,14
56784_c,15850.40965271,-8830.37451171875,140,56,42,14,0.25,0.3,14
56784_c,15900.40965271,-8880.37451171875,93,78,29,12,0.153846153846154,0.311827956989247,12
56784_c,15900.40965271,-8830.37451171875,140,62,48,15,0.241935483870968,0.342857142857143,15
56784_c,15950.40965271,-9080.37451171875,74,52,24,17,0.326923076923077,0.324324324324324,17
56784_c,15950.40965271,-8880.37451171875,91,77,23,9,0.116883116883117,0.252747252747253,9
56784_c,15950.40965271,-8830.37451171875,144,65,46,13,0.2,0.319444444444444,13
56784_c,16000.40965271,-9080.37451171875,94,50,29,19,0.38,0.308510638297872,19
56784_c,16000.40965271,-9030.37451171875,63,85,24,18,0.211764705882353,0.380952380952381,18
56784_c,16000.40965271,-8880.37451171875,91,85,23,9,0.105882352941176,0.252747252747253,9
56784_c,16000.40965271,-8830.37451171875,146,69,44,12,0.173913043478261,0.301369863013699,12
