sample,x0,y0,n_hep,n_cd4,n_chol,score
18321_a,1498.78463745117,-2274.14233398438,51,123,65,79.2022726946645
18321_a,1498.78463745117,-2224.14233398438,60,90,57,73.4846922834954
18321_a,1498.78463745117,-2174.14233398438,68,64,51,65.9696900098826
18321_a,1498.78463745117,-2124.14233398438,67,30,24,44.8330235429198
18321_a,1498.78463745117,-2074.14233398438,59,11,16,25.475478405714
18321_a,1548.78463745117,-2574.14233398438,167,6,9,31.6543835826888
18321_a,1548.78463745117,-2524.14233398438,176,7,21,35.0998575495685
18321_a,1548.78463745117,-2474.14233398438,180,18,24,56.9209978830308
18321_a,1548.78463745117,-2424.14233398438,163,28,30,67.5573830162182
18321_a,1548.78463745117,-2374.14233398438,129,46,56,77.032460690283
18321_a,1548.78463745117,-2324.14233398438,100,59,61,76.8114574786861
18321_a,1548.78463745117,-2274.14233398438,95,66,62,79.1833315793166
18321_a,1548.78463745117,-2224.14233398438,99,55,54,73.7902432574931
18321_a,1548.78463745117,-2174.14233398438,105,45,48,68.7386354243376
18321_a,1548.78463745117,-2124.14233398438,101,26,22,51.2445119012758
18321_a,1548.78463745117,-2074.14233398438,86,10,16,29.3257565972304
18321_a,1598.78463745117,-2374.14233398438,169,17,25,53.6003731330296
18321_a,1598.78463745117,-2324.14233398438,143,29,31,64.3972049082878
18321_a,1598.78463745117,-2274.14233398438,128,33,45,64.9923072370877
18321_a,1598.78463745117,-2224.14233398438,127,33,39,64.7379332385581
18321_a,1598.78463745117,-2174.14233398438,137,32,33,66.2117814289874
18321_a,1598.78463745117,-2124.14233398438,131,18,20,48.5592421687159
18321_a,1598.78463745117,-2074.14233398438,109,6,14,25.5734237050888
18321_a,1648.78463745117,-2374.14233398438,188,8,16,38.7814388593306
18321_a,1648.78463745117,-2324.14233398438,175,12,20,45.8257569495584
18321_a,1648.78463745117,-2274.14233398438,163,13,34,46.0325971459356
18321_a,1648.78463745117,-2224.14233398438,161,14,33,47.4763098818769
18321_a,1648.78463745117,-2174.14233398438,170,14,27,48.7852436706019
18321_a,1648.78463745117,-2124.14233398438,165,6,18,31.4642654451046
18321_a,1948.78463745117,-2274.14233398438,158,6,9,30.7896086366813
18321_a,1948.78463745117,-2224.14233398438,150,6,9,30
18321_a,1948.78463745117,-2174.14233398438,155,5,6,27.8388218141501
18321_a,1998.78463745117,-2274.14233398438,140,6,9,28.9827534923789
18321_a,1998.78463745117,-2224.14233398438,131,6,9,28.0356915377524
18321_a,1998.78463745117,-2174.14233398438,133,5,6,25.7875939164553
18321_a,2048.78463745117,-2374.14233398438,168,5,7,28.9827534923789
18321_a,2048.78463745117,-2324.14233398438,162,6,10,31.1769145362398
18321_a,2048.78463745117,-2274.14233398438,144,7,10,31.7490157327751
18321_a,2048.78463745117,-2224.14233398438,138,7,10,31.0805405358401
18321_a,2048.78463745117,-2174.14233398438,137,6,7,28.6705423736629
18321_a,2098.78463745117,-2374.14233398438,152,18,7,52.3067873224881
18321_a,2098.78463745117,-2324.14233398438,158,20,13,56.2138772902208
18321_a,2098.78463745117,-2274.14233398438,149,22,13,57.2538208331986
18321_a,2098.78463745117,-2224.14233398438,139,22,13,55.299186250794
18321_a,2098.78463745117,-2174.14233398438,145,18,10,51.0881590977792
18321_a,2148.78463745117,-2424.14233398438,131,5,0,25.5929677841395
18321_a,2148.78463745117,-2374.14233398438,139,28,3,62.3858958419289
18321_a,2148.78463745117,-2324.14233398438,162,29,10,68.5419579527752
18321_a,2148.78463745117,-2274.14233398438,163,31,10,71.0844568101916
18321_a,2148.78463745117,-2224.14233398438,156,31,10,69.5413546028548
18321_a,2148.78463745117,-2174.14233398438,156,26,10,63.6867333123626
18321_a,2198.78463745117,-2424.14233398438,108,7,0,27.495454169735
18321_a,2198.78463745117,-2374.14233398438,116,45,0,72.2495674727538
18321_a,2198.78463745117,-2324.14233398438,148,54,7,89.397986554508
18321_a,2198.78463745117,-2274.14233398438,158,55,8,93.2201694913713
18321_a,2198.78463745117,-2224.14233398438,163,55,8,94.6836839165017
18321_a,2198.78463745117,-2174.14233398438,166,48,8,89.2636544176856
18321_a,2198.78463745117,-2124.14233398438,184,10,8,42.8952211790544
18321_a,2248.78463745117,-2424.14233398438,74,13,0,31.0161248385417
18321_a,2248.78463745117,-2374.14233398438,79,59,0,68.2715167547931
18321_a,2248.78463745117,-2324.14233398438,111,79,7,93.6429388688757
18321_a,2248.78463745117,-2274.14233398438,135,81,13,104.5705503476
18321_a,2248.78463745117,-2224.14233398438,154,81,13,111.687062813918
18321_a,2248.78463745117,-2174.14233398438,157,68,13,103.324730824716
18321_a,2248.78463745117,-2124.14233398438,180,22,13,62.9285308902091
18321_a,2298.78463745117,-2424.14233398438,46,14,1,25.377155080899
18321_a,2298.78463745117,-2374.14233398438,50,60,1,54.7722557505166
18321_a,2298.78463745117,-2324.14233398438,76,85,14,80.3741251896405
18321_a,2298.78463745117,-2274.14233398438,102,100,20,100.995049383621
18321_a,2298.78463745117,-2224.14233398438,119,109,23,113.890298094263
18321_a,2298.78463745117,-2174.14233398438,136,95,22,113.666177907063
18321_a,2298.78463745117,-2124.14233398438,164,49,22,89.6437393240599
18321_a,2298.78463745117,-2074.14233398438,180,24,9,65.7267069006199
18321_a,2298.78463745117,-2024.14233398438,194,9,3,41.7851648315524
18321_a,2348.78463745117,-2424.14233398438,30,11,1,18.165902124585
18321_a,2348.78463745117,-2374.14233398438,42,47,1,44.4297197830461
18321_a,2348.78463745117,-2324.14233398438,64,71,10,67.4091981854109
18321_a,2348.78463745117,-2274.14233398438,85,95,16,89.8610037780571
18321_a,2348.78463745117,-2224.14233398438,107,120,19,113.313723793722
18321_a,2348.78463745117,-2174.14233398438,127,112,18,119.264412127005
18321_a,2348.78463745117,-2124.14233398438,149,76,18,106.414284755384
18321_a,2348.78463745117,-2074.14233398438,169,52,9,93.7443331620637
18321_a,2348.78463745117,-2024.14233398438,193,28,3,73.5119037979564
18321_a,2398.78463745117,-2374.14233398438,35,36,1,35.4964786985977
18321_a,2398.78463745117,-2324.14233398438,55,60,9,57.4456264653803
18321_a,2398.78463745117,-2274.14233398438,74,85,15,79.3095202355934
18321_a,2398.78463745117,-2224.14233398438,97,113,20,104.694794521982
18321_a,2398.78463745117,-2174.14233398438,118,107,21,112.365475124702
18321_a,2398.78463745117,-2124.14233398438,128,81,21,101.823376490863
18321_a,2398.78463745117,-2074.14233398438,150,59,15,94.0744386111339
