sample,x0,y0,n_hep,n_cd4,n_interact,frac
56784_c,17245.9170014954,-8662.21958007813,97,62,10,0.161290322580645
56784_c,17245.9170014954,-8612.21958007813,81,60,7,0.116666666666667
56784_c,17245.9170014954,-8562.21958007813,87,50,9,0.18
56784_c,17245.9170014954,-8512.21958007812,77,34,6,0.176470588235294
56784_c,17295.9170014954,-9212.21958007813,119,30,15,0.5
56784_c,17295.9170014954,-9162.21958007812,100,30,12,0.4
56784_c,17295.9170014954,-9062.21958007812,100,31,10,0.32258064516129
56784_c,17295.9170014954,-8762.21958007812,150,35,10,0.285714285714286
56784_c,17295.9170014954,-8712.21958007813,136,44,9,0.204545454545455
56784_c,17295.9170014954,-8662.21958007813,106,55,9,0.163636363636364
56784_c,17295.9170014954,-8612.21958007813,99,55,8,0.145454545454545
56784_c,17295.9170014954,-8562.21958007813,102,44,9,0.204545454545455
56784_c,17295.9170014954,-8512.21958007812,93,33,8,0.242424242424242
56784_c,17345.9170014954,-9162.21958007812,113,31,13,0.419354838709677
56784_c,17345.9170014954,-9112.21958007813,99,36,14,0.388888888888889
56784_c,17345.9170014954,-9062.21958007812,97,36,14,0.388888888888889
56784_c,17345.9170014954,-9012.21958007812,98,32,11,0.34375
56784_c,17345.9170014954,-8762.21958007812,167,31,10,0.32258064516129
56784_c,17345.9170014954,-8712.21958007813,159,40,10,0.25
56784_c,17345.9170014954,-8662.21958007813,135,50,9,0.18
56784_c,17345.9170014954,-8612.21958007813,134,51,8,0.156862745098039
56784_c,17345.9170014954,-8562.21958007813,137,39,8,0.205128205128205
56784_c,17345.9170014954,-8512.21958007812,125,30,7,0.233333333333333
56784_c,17395.9170014954,-9212.21958007813,144,30,19,0.633333333333333
56784_c,17395.9170014954,-9162.21958007812,122,34,17,0.5
56784_c,17395.9170014954,-9112.21958007813,114,39,18,0.461538461538462
56784_c,17395.9170014954,-9062.21958007812,119,35,15,0.428571428571429
56784_c,18145.9170014954,-9012.21958007812,126,30,7,0.233333333333333
56784_c,18145.9170014954,-8512.21958007812,95,32,9,0.28125
56784_c,18195.9170014954,-9112.21958007813,109,30,10,0.333333333333333
56784_c,18195.9170014954,-9062.21958007812,101,32,8,0.25
56784_c,18195.9170014954,-9012.21958007812,117,33,9,0.272727272727273
56784_c,18195.9170014954,-8962.21958007813,130,30,8,0.266666666666667
56784_c,18195.9170014954,-8612.21958007813,104,38,11,0.289473684210526
56784_c,18195.9170014954,-8562.21958007813,83,45,10,0.222222222222222
56784_c,18195.9170014954,-8512.21958007812,62,45,9,0.2
56784_c,18245.9170014954,-9112.21958007813,98,30,10,0.333333333333333
56784_c,18245.9170014954,-8612.21958007813,96,63,11,0.174603174603175
56784_c,18245.9170014954,-8562.21958007813,68,77,12,0.155844155844156
56784_c,18295.9170014954,-9162.21958007812,87,31,8,0.258064516129032
56784_c,18295.9170014954,-9112.21958007813,89,32,9,0.28125
56784_c,18295.9170014954,-9012.21958007812,125,31,9,0.290322580645161
56784_c,18295.9170014954,-8662.21958007813,91,32,7,0.21875
56784_c,18295.9170014954,-8612.21958007813,65,85,10,0.117647058823529
56784_c,18345.9170014954,-9162.21958007812,71,43,6,0.13953488372093
56784_c,18345.9170014954,-9112.21958007813,75,44,7,0.159090909090909
56784_c,18345.9170014954,-9062.21958007812,89,41,6,0.146341463414634
56784_c,18345.9170014954,-9012.21958007812,116,38,8,0.210526315789474
56784_c,18345.9170014954,-8662.21958007813,69,39,8,0.205128205128205
56784_c,18395.9170014954,-9212.21958007813,102,42,4,0.0952380952380952
56784_c,18395.9170014954,-9162.21958007812,61,64,7,0.109375
56784_c,18395.9170014954,-9112.21958007813,65,58,5,0.0862068965517242
56784_c,18395.9170014954,-9062.21958007812,77,48,3,0.0625
56784_c,18395.9170014954,-9012.21958007812,105,42,5,0.119047619047619
56784_c,18445.9170014954,-9312.21958007812,117,38,6,0.157894736842105
56784_c,18445.9170014954,-9262.21958007812,118,50,6,0.12
56784_c,18445.9170014954,-9212.21958007813,74,68,4,0.0588235294117647
56784_c,18445.9170014954,-9062.21958007812,72,51,0,0
56784_c,18445.9170014954,-9012.21958007812,104,41,2,0.0487804878048781
56784_c,18445.9170014954,-8662.21958007813,63,36,6,0.166666666666667
56784_c,18495.9170014954,-9362.21958007813,76,45,3,0.0666666666666667
56784_c,18495.9170014954,-9312.21958007812,86,70,5,0.0714285714285714
56784_c,18495.9170014954,-9262.21958007812,82,83,5,0.0602409638554217
56784_c,18495.9170014954,-9062.21958007812,65,56,2,0.0357142857142857
56784_c,18495.9170014954,-9012.21958007812,104,45,4,0.0888888888888889
56784_c,18545.9170014954,-9062.21958007812,75,52,3,0.0576923076923077
56784_c,18545.9170014954,-9012.21958007812,103,40,3,0.075
56784_c,18595.9170014954,-9112.21958007813,65,70,6,0.0857142857142857
56784_c,18595.9170014954,-9062.21958007812,90,44,3,0.0681818181818182
56784_c,18595.9170014954,-9012.21958007812,118,36,3,0.0833333333333333
56784_c,18595.9170014954,-8712.21958007813,95,32,10,0.3125
56784_c,18645.9170014954,-9262.21958007812,61,88,8,0.0909090909090909
56784_c,18645.9170014954,-9212.21958007813,79,97,11,0.11340206185567
56784_c,18645.9170014954,-9162.21958007812,79,83,11,0.132530120481928
56784_c,18645.9170014954,-9112.21958007813,95,55,9,0.163636363636364
56784_c,18645.9170014954,-9062.21958007812,115,36,7,0.194444444444444
56784_c,18645.9170014954,-9012.21958007812,140,31,7,0.225806451612903
56784_c,18645.9170014954,-8712.21958007813,87,37,7,0.189189189189189
56784_c,18695.9170014954,-9312.21958007812,63,63,8,0.126984126984127
56784_c,18695.9170014954,-9262.21958007812,89,64,8,0.125
56784_c,18695.9170014954,-9212.21958007813,119,69,11,0.159420289855072
56784_c,18695.9170014954,-9162.21958007812,118,63,12,0.19047619047619
56784_c,18695.9170014954,-9112.21958007813,129,39,10,0.256410256410256
56784_c,18695.9170014954,-8712.21958007813,84,34,5,0.147058823529412
56784_c,18745.9170014954,-9312.21958007812,89,32,10,0.3125
56784_c,18745.9170014954,-9262.21958007812,120,33,11,0.333333333333333
56784_c,18745.9170014954,-9212.21958007813,150,35,15,0.428571428571429
56784_c,18745.9170014954,-9162.21958007812,144,32,16,0.5
56784_c,18745.9170014954,-8712.21958007813,82,32,5,0.15625
