sample,x0,y0,n_hep,n_cd4,n_interact,frac
54023_b,5726.72400062561,-9125.55911132812,62,87,2,0.0229885057471264
54023_b,5776.72400062561,-9175.55911132813,96,31,1,0.032258064516129
54023_b,5776.72400062561,-9125.55911132812,62,56,0,0
54023_b,5826.72400062561,-9125.55911132812,65,38,1,0.0263157894736842
56784_c,13345.9170014954,-9562.21958007812,133,33,4,0.121212121212121
56784_c,13345.9170014954,-9512.21958007812,107,40,6,0.15
56784_c,13345.9170014954,-9462.21958007813,76,46,7,0.152173913043478
56784_c,13395.9170014954,-10162.2195800781,136,34,12,0.352941176470588
56784_c,13395.9170014954,-10112.2195800781,119,39,12,0.307692307692308
56784_c,13395.9170014954,-10062.2195800781,110,43,11,0.255813953488372
56784_c,13395.9170014954,-10012.2195800781,121,32,10,0.3125
56784_c,13395.9170014954,-9962.21958007813,131,34,6,0.176470588235294
56784_c,13395.9170014954,-9912.21958007812,140,34,7,0.205882352941176
56784_c,13395.9170014954,-9862.21958007813,142,35,8,0.228571428571429
56784_c,13395.9170014954,-9812.21958007812,151,34,7,0.205882352941176
56784_c,13395.9170014954,-9762.21958007812,163,31,5,0.161290322580645
56784_c,13395.9170014954,-9712.21958007813,160,30,5,0.166666666666667
56784_c,13395.9170014954,-9612.21958007813,130,32,3,0.09375
56784_c,13395.9170014954,-9562.21958007812,103,35,3,0.0857142857142857
56784_c,13395.9170014954,-9512.21958007812,92,40,5,0.125
56784_c,13395.9170014954,-9462.21958007813,77,47,7,0.148936170212766
56784_c,13445.9170014954,-10212.2195800781,144,31,9,0.290322580645161
56784_c,13445.9170014954,-10162.2195800781,120,36,9,0.25
56784_c,13445.9170014954,-10112.2195800781,96,43,8,0.186046511627907
56784_c,13445.9170014954,-10062.2195800781,76,51,7,0.137254901960784
56784_c,13445.9170014954,-10012.2195800781,79,48,5,0.104166666666667
56784_c,13445.9170014954,-9962.21958007813,91,62,3,0.0483870967741936
56784_c,13445.9170014954,-9912.21958007812,97,74,4,0.0540540540540541
56784_c,13445.9170014954,-9862.21958007813,99,79,5,0.0632911392405063
56784_c,13445.9170014954,-9812.21958007812,111,78,5,0.0641025641025641
56784_c,13445.9170014954,-9762.21958007812,116,74,5,0.0675675675675676
56784_c,13445.9170014954,-9712.21958007813,109,59,5,0.0847457627118644
56784_c,13445.9170014954,-9662.21958007812,110,46,3,0.0652173913043478
56784_c,13445.9170014954,-9612.21958007813,94,39,2,0.0512820512820513
56784_c,13445.9170014954,-9562.21958007812,79,39,2,0.0512820512820513
56784_c,13445.9170014954,-9512.21958007812,77,37,4,0.108108108108108
56784_c,13445.9170014954,-9462.21958007813,76,44,7,0.159090909090909
56784_c,13445.9170014954,-9412.21958007812,66,58,9,0.155172413793103
56784_c,13445.9170014954,-9362.21958007813,61,64,11,0.171875
56784_c,13495.9170014954,-10112.2195800781,94,42,5,0.119047619047619
56784_c,13495.9170014954,-10062.2195800781,62,64,5,0.078125
56784_c,13495.9170014954,-9812.21958007812,63,140,4,0.0285714285714286
56784_c,13495.9170014954,-9762.21958007812,63,116,4,0.0344827586206897
56784_c,13495.9170014954,-9712.21958007813,63,78,4,0.0512820512820513
56784_c,13495.9170014954,-9662.21958007812,80,56,4,0.0714285714285714
56784_c,13495.9170014954,-9612.21958007813,79,41,4,0.0975609756097561
56784_c,13495.9170014954,-9562.21958007812,82,37,4,0.108108108108108
56784_c,13495.9170014954,-9512.21958007812,101,32,7,0.21875
