sample,x0,y0,n_hep,n_cd4,n_chol,score
54023_b,1543.95310974121,-10433.6330566406,144,14,34,44.8998886412873
54023_b,1543.95310974121,-10383.6330566406,158,11,27,41.6893271713517
54023_b,1543.95310974121,-10333.6330566406,169,8,6,36.7695526217005
54023_b,1543.95310974121,-10233.6330566406,176,5,0,29.6647939483827
54023_b,1543.95310974121,-10183.6330566406,151,8,0,34.7562943939655
54023_b,1543.95310974121,-10133.6330566406,119,12,3,37.7888872553824
54023_b,1543.95310974121,-10083.6330566406,96,13,3,35.3270434653114
54023_b,1543.95310974121,-10033.6330566406,74,12,3,29.7993288515027
54023_b,1543.95310974121,-9983.63305664063,42,10,3,20.4939015319192
54023_b,1593.95310974121,-10933.6330566406,33,10,0,18.165902124585
54023_b,1593.95310974121,-10883.6330566406,39,9,0,18.7349939951952
54023_b,1593.95310974121,-10833.6330566406,54,12,0,25.4558441227157
54023_b,1593.95310974121,-10783.6330566406,76,13,0,31.4324672910034
54023_b,1593.95310974121,-10733.6330566406,98,11,0,32.832910318764
54023_b,1593.95310974121,-10683.6330566406,125,11,0,37.0809924354783
54023_b,1593.95310974121,-10633.6330566406,136,13,4,42.0475920832573
54023_b,1593.95310974121,-10583.6330566406,143,10,24,37.8153408023781
54023_b,1593.95310974121,-10533.6330566406,148,7,25,32.1869538788622
54023_b,1593.95310974121,-10483.6330566406,156,7,25,33.0454232837166
54023_b,1593.95310974121,-10433.6330566406,156,6,25,30.5941170815567
54023_b,1593.95310974121,-10233.6330566406,170,5,0,29.1547594742265
54023_b,1593.95310974121,-10183.6330566406,141,8,0,33.5857112474933
54023_b,1593.95310974121,-10133.6330566406,111,12,14,36.4965751817893
54023_b,1593.95310974121,-10083.6330566406,90,13,14,34.2052627529741
54023_b,1593.95310974121,-10033.6330566406,77,14,14,32.832910318764
54023_b,1593.95310974121,-9983.63305664063,47,15,14,26.5518360947035
54023_b,1593.95310974121,-9933.63305664063,39,11,14,20.712315177208
54023_b,1593.95310974121,-9883.63305664063,31,7,0,14.7309198626562
54023_b,1643.95310974121,-10883.6330566406,31,8,0,15.7480157480236
54023_b,1643.95310974121,-10833.6330566406,48,9,0,20.7846096908265
54023_b,1643.95310974121,-10783.6330566406,67,11,0,27.1477439209965
54023_b,1643.95310974121,-10733.6330566406,91,10,0,30.1662062579967
54023_b,1643.95310974121,-10683.6330566406,113,8,0,30.0665927567458
54023_b,1643.95310974121,-10633.6330566406,127,9,0,33.8082830087539
54023_b,1643.95310974121,-10583.6330566406,139,9,1,35.3694783676548
54023_b,1643.95310974121,-10533.6330566406,149,6,1,29.8998327754521
54023_b,1643.95310974121,-10483.6330566406,157,6,1,30.6920185064456
54023_b,1643.95310974121,-10433.6330566406,160,7,1,33.466401061363
54023_b,1643.95310974121,-10383.6330566406,161,5,1,28.3725219182222
54023_b,1643.95310974121,-10333.6330566406,160,5,0,28.2842712474619
54023_b,1643.95310974121,-10283.6330566406,157,7,0,33.1511689085016
54023_b,1643.95310974121,-10233.6330566406,143,9,0,35.8747822293042
54023_b,1643.95310974121,-10183.6330566406,118,10,0,34.3511280746353
54023_b,1643.95310974121,-10133.6330566406,100,15,14,38.7298334620742
54023_b,1643.95310974121,-10083.6330566406,87,17,14,38.4577690460588
54023_b,1643.95310974121,-10033.6330566406,77,22,19,41.1582312545134
54023_b,1643.95310974121,-9983.63305664063,50,26,20,36.0555127546399
54023_b,1643.95310974121,-9933.63305664063,43,30,21,35.9165699921359
54023_b,1643.95310974121,-9883.63305664063,36,25,7,30
54023_b,1693.95310974121,-10833.6330566406,52,9,0,21.6333076527839
54023_b,1693.95310974121,-10783.6330566406,73,11,0,28.3372546306095
54023_b,1693.95310974121,-10733.6330566406,101,10,0,31.7804971641414
54023_b,1693.95310974121,-10683.6330566406,129,8,0,32.124756808418
54023_b,1693.95310974121,-10633.6330566406,145,8,0,34.0587727318528
54023_b,1693.95310974121,-10583.6330566406,165,7,0,33.9852909359329
54023_b,1693.95310974121,-10483.6330566406,175,5,0,29.5803989154981
54023_b,1693.95310974121,-10433.6330566406,161,6,0,31.0805405358401
54023_b,1693.95310974121,-10383.6330566406,155,5,0,27.8388218141501
54023_b,1693.95310974121,-10333.6330566406,135,5,0,25.9807621135332
54023_b,1693.95310974121,-10283.6330566406,128,8,0,32
54023_b,1693.95310974121,-10233.6330566406,107,11,0,34.3074335968169
54023_b,1693.95310974121,-10183.6330566406,90,11,0,31.4642654451046
54023_b,1693.95310974121,-10133.6330566406,80,14,15,33.466401061363
54023_b,1693.95310974121,-10083.6330566406,73,17,15,35.2278299076171
54023_b,1693.95310974121,-10033.6330566406,73,29,30,46.0108682813094
54023_b,1693.95310974121,-9983.63305664063,61,37,34,47.5078940808788
54023_b,1693.95310974121,-9933.63305664063,56,44,36,49.6386945839634
54023_b,1693.95310974121,-9883.63305664063,50,41,21,45.2769256906871
54023_b,1693.95310974121,-9833.63305664063,30,37,21,33.3166624979154
54023_b,1743.95310974121,-10833.6330566406,43,13,0,23.6431808350738
54023_b,1743.95310974121,-10783.6330566406,64,13,0,28.8444102037119
54023_b,1743.95310974121,-10733.6330566406,96,12,0,33.9411254969543
54023_b,1743.95310974121,-10683.6330566406,123,7,0,29.3428015022424
54023_b,1743.95310974121,-10633.6330566406,140,6,0,28.9827534923789
54023_b,1743.95310974121,-10383.6330566406,142,6,0,29.1890390386529
54023_b,1743.95310974121,-10333.6330566406,113,7,0,28.1247222208505
54023_b,1743.95310974121,-10283.6330566406,105,11,0,33.9852909359329
54023_b,1743.95310974121,-10233.6330566406,83,14,0,34.0881210981186
54023_b,1743.95310974121,-10183.6330566406,69,16,0,33.2264954516723
54023_b,1743.95310974121,-10133.6330566406,64,17,16,32.9848450049413
54023_b,1743.95310974121,-10083.6330566406,66,20,18,36.3318042491699
54023_b,1743.95310974121,-10033.6330566406,80,31,33,49.7995983919549
