sample,x0,y0,n_chol,n_cd8t23,n_cd8t1,chol_with_cd23,cd23_with_chol,score
56784_c,17350,-9250,46,28,81,5,6,11
54023_b,1400,-10400,55,27,128,6,5,11
56784_c,16400,-8900,28,27,68,6,5,11
56784_c,17250,-9250,56,27,74,5,6,11
56784_c,13350,-10150,36,26,80,7,4,11
56784_c,13350,-10100,40,25,88,7,4,11
56784_c,16100,-8500,44,24,66,6,5,11
56784_c,16800,-9100,27,24,84,6,5,11
56784_c,13350,-10200,33,23,73,7,4,11
56784_c,13400,-10300,16,23,52,7,4,11
56784_c,13400,-10150,59,23,92,7,4,11
56784_c,13450,-10100,79,23,100,7,4,11
56784_c,13400,-10100,64,22,100,7,4,11
56784_c,13550,-9650,27,21,98,6,5,11
56784_c,16800,-9200,27,21,86,7,4,11
56784_c,13400,-9450,51,20,100,7,4,11
56784_c,13700,-9650,21,20,53,5,6,11
56784_c,16100,-8550,48,20,57,6,5,11
56784_c,13700,-9700,26,18,54,5,6,11
56784_c,15700,-8900,50,16,63,7,4,11
56784_c,16050,-8900,88,16,118,6,5,11
56784_c,16100,-8600,32,16,49,6,5,11
54023_b,2400,-9900,40,15,208,8,3,11
56784_c,16850,-9200,27,15,80,7,4,11
54023_b,850,-11000,58,14,87,8,3,11
54023_b,6000,-9000,105,14,125,8,3,11
54023_b,6000,-8950,121,14,92,8,3,11
54023_b,6650,-8900,34,14,141,8,3,11
56784_c,15700,-8950,56,14,70,7,4,11
56784_c,15700,-8850,47,14,53,7,4,11
54023_b,2400,-9950,42,13,191,8,3,11
56784_c,13650,-9750,31,13,65,5,6,11
56784_c,13700,-9750,29,13,50,5,6,11
56784_c,15950,-8950,103,13,88,7,4,11
54023_b,800,-11000,92,11,109,8,3,11
54023_b,4200,-9650,142,11,98,8,3,11
54023_b,5900,-9000,111,11,135,8,3,11
54023_b,5950,-9000,110,11,126,8,3,11
54023_b,5900,-8950,104,10,103,8,3,11
54023_b,5950,-8950,109,10,96,8,3,11
54023_b,6450,-8850,36,8,102,7,4,11
54023_b,650,-11050,81,7,92,9,2,11
54023_b,6600,-8750,66,7,98,8,3,11
54023_b,6650,-8750,51,7,80,8,3,11
54023_b,6600,-8700,61,6,75,8,3,11
54023_b,6650,-8700,46,6,58,8,3,11
54023_b,1800,-10050,28,55,127,7,3,10
54023_b,1250,-10400,21,47,129,5,5,10
54023_b,1250,-10350,24,45,123,5,5,10
54023_b,1800,-10000,37,41,109,7,3,10
54023_b,1350,-10300,25,40,118,6,4,10
54023_b,1250,-10300,24,38,113,5,5,10
54023_b,4550,-9700,31,37,90,6,4,10
