sample,x0,y0,n_hep,n_cd4,hep_with_cd4,cd4_with_hep,cd4_at_interface_frac,contact_frac
24774_d,13493.8946533203,-1202.76489257813,101,36,11,11,0.305555555555556,0.108910891089109
24774_d,13493.8946533203,-1152.76489257813,78,34,5,9,0.264705882352941,0.0641025641025641
24774_d,13543.8946533203,-1352.76489257813,141,31,9,12,0.387096774193548,0.0638297872340426
24774_d,13543.8946533203,-1302.76489257813,124,32,9,12,0.375,0.0725806451612903
24774_d,13543.8946533203,-1252.76489257813,112,36,9,12,0.333333333333333,0.0803571428571429
24774_d,13543.8946533203,-1202.76489257813,102,38,12,14,0.368421052631579,0.117647058823529
24774_d,13543.8946533203,-1152.76489257813,77,36,5,9,0.25,0.0649350649350649
24774_d,13593.8946533203,-1352.76489257813,143,31,9,12,0.387096774193548,0.0629370629370629
24774_d,13593.8946533203,-1302.76489257813,119,32,9,12,0.375,0.0756302521008403
24774_d,13593.8946533203,-1252.76489257813,114,36,9,12,0.333333333333333,0.0789473684210526
24774_d,13593.8946533203,-1202.76489257813,99,38,12,14,0.368421052631579,0.121212121212121
24774_d,13593.8946533203,-1152.76489257813,69,36,5,9,0.25,0.072463768115942
24774_d,13643.8946533203,-1352.76489257813,140,31,9,12,0.387096774193548,0.0642857142857143
24774_d,13643.8946533203,-1302.76489257813,123,31,9,12,0.387096774193548,0.0731707317073171
24774_d,13643.8946533203,-1252.76489257813,126,31,9,12,0.387096774193548,0.0714285714285714
24774_d,13643.8946533203,-1202.76489257813,124,33,12,14,0.424242424242424,0.0967741935483871
24774_d,13643.8946533203,-1152.76489257813,94,31,5,9,0.290322580645161,0.0531914893617021
24774_d,13693.8946533203,-1352.76489257813,147,31,8,12,0.387096774193548,0.054421768707483
24774_d,13693.8946533203,-1302.76489257813,128,31,8,12,0.387096774193548,0.0625
24774_d,13693.8946533203,-1252.76489257813,131,31,8,12,0.387096774193548,0.0610687022900763
24774_d,13693.8946533203,-1202.76489257813,133,31,8,12,0.387096774193548,0.0601503759398496
24774_d,15043.8946533203,-1452.76489257813,134,48,7,7,0.145833333333333,0.0522388059701493
24774_d,15043.8946533203,-1402.76489257813,126,103,8,9,0.087378640776699,0.0634920634920635
24774_d,15043.8946533203,-1352.76489257813,128,132,13,23,0.174242424242424,0.1015625
24774_d,15043.8946533203,-1302.76489257813,128,118,12,22,0.186440677966102,0.09375
24774_d,15043.8946533203,-1252.76489257813,126,109,11,22,0.201834862385321,0.0873015873015873
24774_d,15043.8946533203,-1202.76489257813,136,85,6,16,0.188235294117647,0.0441176470588235
24774_d,15043.8946533203,-1152.76489257813,150,30,6,16,0.533333333333333,0.04
24774_d,15093.8946533203,-1552.76489257813,122,40,7,18,0.45,0.0573770491803279
24774_d,15093.8946533203,-1502.76489257813,114,80,6,17,0.2125,0.0526315789473684
24774_d,15093.8946533203,-1452.76489257813,108,131,11,21,0.16030534351145,0.101851851851852
24774_d,15093.8946533203,-1402.76489257813,92,198,12,23,0.116161616161616,0.130434782608696
24774_d,15093.8946533203,-1352.76489257813,93,267,17,39,0.146067415730337,0.182795698924731
24774_d,15093.8946533203,-1302.76489257813,96,243,14,30,0.123456790123457,0.145833333333333
24774_d,15093.8946533203,-1252.76489257813,111,203,13,30,0.147783251231527,0.117117117117117
24774_d,15093.8946533203,-1202.76489257813,123,150,8,24,0.16,0.0650406504065041
24774_d,15093.8946533203,-1152.76489257813,145,85,12,26,0.305882352941177,0.0827586206896552
24774_d,15143.8946533203,-1552.76489257813,120,45,10,20,0.444444444444444,0.0833333333333333
24774_d,15143.8946533203,-1502.76489257813,106,100,12,32,0.32,0.113207547169811
24774_d,15143.8946533203,-1452.76489257813,90,162,17,36,0.222222222222222,0.188888888888889
24774_d,15143.8946533203,-1402.76489257813,70,258,18,38,0.147286821705426,0.257142857142857
24774_d,15143.8946533203,-1352.76489257813,62,343,20,53,0.154518950437318,0.32258064516129
24774_d,15143.8946533203,-1302.76489257813,73,332,23,61,0.183734939759036,0.315068493150685
24774_d,15143.8946533203,-1252.76489257813,97,277,19,51,0.184115523465704,0.195876288659794
24774_d,15143.8946533203,-1202.76489257813,117,213,14,45,0.211267605633803,0.11965811965812
24774_d,15143.8946533203,-1152.76489257813,141,119,19,47,0.394957983193277,0.134751773049645
24774_d,15143.8946533203,-1102.76489257813,159,33,19,28,0.848484848484848,0.119496855345912
24774_d,15193.8946533203,-1552.76489257813,120,45,10,20,0.444444444444444,0.0833333333333333
24774_d,15193.8946533203,-1502.76489257813,104,100,13,32,0.32,0.125
24774_d,15193.8946533203,-1452.76489257813,82,176,18,36,0.204545454545455,0.219512195121951
24774_d,15193.8946533203,-1252.76489257813,73,351,22,57,0.162393162393162,0.301369863013699
24774_d,15193.8946533203,-1202.76489257813,94,273,17,51,0.186813186813187,0.180851063829787
24774_d,15193.8946533203,-1152.76489257813,117,165,22,53,0.321212121212121,0.188034188034188
24774_d,15193.8946533203,-1102.76489257813,137,58,22,34,0.586206896551724,0.160583941605839
24774_d,15243.8946533203,-1552.76489257813,120,43,8,18,0.418604651162791,0.0666666666666667
24774_d,15243.8946533203,-1502.76489257813,99,99,12,31,0.313131313131313,0.121212121212121
24774_d,15243.8946533203,-1452.76489257813,66,184,12,31,0.168478260869565,0.181818181818182
24774_d,15243.8946533203,-1202.76489257813,77,280,14,48,0.171428571428571,0.181818181818182
24774_d,15243.8946533203,-1152.76489257813,100,168,19,50,0.297619047619048,0.19
24774_d,15243.8946533203,-1102.76489257813,121,59,16,33,0.559322033898305,0.132231404958678
24774_d,15293.8946533203,-1502.76489257813,123,75,12,28,0.373333333333333,0.0975609756097561
24774_d,15293.8946533203,-1452.76489257813,91,143,14,31,0.216783216783217,0.153846153846154
24774_d,15293.8946533203,-1202.76489257813,67,220,14,40,0.181818181818182,0.208955223880597
24774_d,15293.8946533203,-1152.76489257813,87,148,18,37,0.25,0.206896551724138
24774_d,15293.8946533203,-1102.76489257813,109,63,16,33,0.523809523809524,0.146788990825688
24774_d,15343.8946533203,-1452.76489257813,107,60,11,19,0.316666666666667,0.102803738317757
24774_d,15343.8946533203,-1402.76489257813,82,122,12,24,0.19672131147541,0.146341463414634
24774_d,15343.8946533203,-1202.76489257813,68,159,14,29,0.182389937106918,0.205882352941176
24774_d,15343.8946533203,-1152.76489257813,81,97,13,24,0.247422680412371,0.160493827160494
24774_d,15343.8946533203,-1102.76489257813,100,52,10,21,0.403846153846154,0.1
24774_d,15393.8946533203,-1452.76489257813,128,30,5,6,0.2,0.0390625
24774_d,15393.8946533203,-1402.76489257813,106,63,9,11,0.174603174603175,0.0849056603773585
24774_d,15393.8946533203,-1352.76489257813,85,91,12,13,0.142857142857143,0.141176470588235
24774_d,15393.8946533203,-1202.76489257813,64,96,7,12,0.125,0.109375
24774_d,15393.8946533203,-1152.76489257813,74,63,6,7,0.111111111111111,0.0810810810810811
24774_d,15393.8946533203,-1102.76489257813,90,35,3,5,0.142857142857143,0.0333333333333333
24774_d,15443.8946533203,-1402.76489257813,124,35,9,11,0.314285714285714,0.0725806451612903
24774_d,15443.8946533203,-1352.76489257813,108,42,12,13,0.30952380952381,0.111111111111111
24774_d,15443.8946533203,-1302.76489257813,82,50,12,13,0.26,0.146341463414634
24774_d,15443.8946533203,-1252.76489257813,61,55,11,13,0.236363636363636,0.180327868852459
24774_d,15443.8946533203,-1202.76489257813,64,41,8,9,0.219512195121951,0.125
24774_d,15493.8946533203,-1252.76489257813,71,30,10,10,0.333333333333333,0.140845070422535
24774_d,15693.8946533203,-1052.76489257813,76,32,0,0,0,0
24774_d,15743.8946533203,-1052.76489257813,62,39,0,0,0,0
24774_d,15793.8946533203,-1502.76489257813,93,32,3,13,0.40625,0.032258064516129
24774_d,15793.8946533203,-1452.76489257813,81,37,3,16,0.432432432432432,0.037037037037037
24774_d,15793.8946533203,-1402.76489257813,84,37,3,16,0.432432432432432,0.0357142857142857
24774_d,15793.8946533203,-1352.76489257813,79,37,3,16,0.432432432432432,0.0379746835443038
24774_d,15793.8946533203,-1302.76489257813,64,36,3,15,0.416666666666667,0.046875
24774_d,15793.8946533203,-1002.76489257813,80,33,0,0,0,0
24774_d,15843.8946533203,-1502.76489257813,101,32,3,13,0.40625,0.0297029702970297
24774_d,15843.8946533203,-1452.76489257813,83,37,3,16,0.432432432432432,0.036144578313253
24774_d,15843.8946533203,-1402.76489257813,76,37,3,16,0.432432432432432,0.0394736842105263
24774_d,15843.8946533203,-1352.76489257813,65,37,3,16,0.432432432432432,0.0461538461538462
24774_d,15843.8946533203,-1002.76489257813,63,65,1,1,0.0153846153846154,0.0158730158730159
24774_d,15843.8946533203,-952.764892578125,64,51,1,1,0.0196078431372549,0.015625
24774_d,15893.8946533203,-1502.76489257813,103,32,3,13,0.40625,0.029126213592233
24774_d,15893.8946533203,-1452.76489257813,78,37,3,16,0.432432432432432,0.0384615384615385
24774_d,15893.8946533203,-1402.76489257813,64,37,3,16,0.432432432432432,0.046875
24774_d,15943.8946533203,-1502.76489257813,92,32,3,13,0.40625,0.0326086956521739
24774_d,15943.8946533203,-1452.76489257813,69,37,3,16,0.432432432432432,0.0434782608695652
24774_d,16043.8946533203,-1152.76489257813,77,44,1,5,0.113636363636364,0.012987012987013
24774_d,16043.8946533203,-1102.76489257813,81,104,3,8,0.0769230769230769,0.037037037037037
24774_d,16043.8946533203,-1052.76489257813,72,175,6,13,0.0742857142857143,0.0833333333333333
24774_d,16093.8946533203,-1152.76489257813,83,32,1,5,0.15625,0.0120481927710843
24774_d,16093.8946533203,-1102.76489257813,91,79,3,8,0.10126582278481,0.032967032967033
24774_d,16093.8946533203,-1052.76489257813,87,140,6,13,0.0928571428571429,0.0689655172413793
24774_d,16093.8946533203,-1002.76489257813,73,187,10,31,0.165775401069519,0.136986301369863
