sample,x0,y0,n_hep,n_cd4,n_interact_proxy,interact_frac
24774_d,13693.8946533203,-1352.76489257813,147,31,22,0.709677419354839
24774_d,13693.8946533203,-1302.76489257813,128,31,22,0.709677419354839
24774_d,13693.8946533203,-1252.76489257813,131,31,22,0.709677419354839
24774_d,13693.8946533203,-1202.76489257813,133,31,22,0.709677419354839
24774_d,15043.8946533203,-1452.76489257813,134,48,18,0.375
24774_d,15043.8946533203,-1402.76489257813,126,103,23,0.223300970873786
24774_d,15043.8946533203,-1352.76489257813,128,132,45,0.340909090909091
24774_d,15043.8946533203,-1302.76489257813,128,118,39,0.330508474576271
24774_d,15043.8946533203,-1252.76489257813,126,109,38,0.348623853211009
24774_d,15043.8946533203,-1202.76489257813,136,85,29,0.341176470588235
24774_d,15043.8946533203,-1152.76489257813,150,30,26,0.866666666666667
24774_d,15093.8946533203,-1552.76489257813,122,40,35,0.875
24774_d,15093.8946533203,-1502.76489257813,114,80,36,0.45
24774_d,15093.8946533203,-1452.76489257813,108,131,41,0.312977099236641
24774_d,15093.8946533203,-1402.76489257813,92,198,46,0.232323232323232
24774_d,15093.8946533203,-1352.76489257813,93,267,78,0.292134831460674
24774_d,15093.8946533203,-1302.76489257813,96,243,60,0.246913580246914
24774_d,15093.8946533203,-1252.76489257813,111,203,59,0.29064039408867
24774_d,15093.8946533203,-1202.76489257813,123,150,50,0.333333333333333
24774_d,15093.8946533203,-1152.76489257813,145,85,49,0.576470588235294
24774_d,15143.8946533203,-1552.76489257813,120,45,38,0.844444444444445
24774_d,15143.8946533203,-1502.76489257813,106,100,59,0.59
24774_d,15143.8946533203,-1452.76489257813,90,162,67,0.41358024691358
24774_d,15143.8946533203,-1402.76489257813,70,258,72,0.27906976744186
24774_d,15143.8946533203,-1352.76489257813,62,343,103,0.300291545189504
24774_d,15143.8946533203,-1302.76489257813,73,332,112,0.337349397590361
24774_d,15143.8946533203,-1252.76489257813,97,277,90,0.324909747292419
24774_d,15143.8946533203,-1202.76489257813,117,213,81,0.380281690140845
24774_d,15143.8946533203,-1152.76489257813,141,119,80,0.672268907563025
24774_d,15143.8946533203,-1102.76489257813,159,33,33,1
24774_d,15193.8946533203,-1552.76489257813,120,45,38,0.844444444444445
24774_d,15193.8946533203,-1502.76489257813,104,100,59,0.59
24774_d,15193.8946533203,-1452.76489257813,82,176,67,0.380681818181818
24774_d,15193.8946533203,-1252.76489257813,73,351,105,0.299145299145299
24774_d,15193.8946533203,-1202.76489257813,94,273,94,0.344322344322344
24774_d,15193.8946533203,-1152.76489257813,117,165,95,0.575757575757576
24774_d,15193.8946533203,-1102.76489257813,137,58,48,0.827586206896552
24774_d,15243.8946533203,-1552.76489257813,120,43,32,0.744186046511628
24774_d,15243.8946533203,-1502.76489257813,99,99,52,0.525252525252525
24774_d,15243.8946533203,-1452.76489257813,66,184,55,0.298913043478261
24774_d,15243.8946533203,-1202.76489257813,77,280,90,0.321428571428571
24774_d,15243.8946533203,-1152.76489257813,100,168,92,0.547619047619048
24774_d,15243.8946533203,-1102.76489257813,121,59,48,0.813559322033898
24774_d,15293.8946533203,-1502.76489257813,123,75,44,0.586666666666667
24774_d,15293.8946533203,-1452.76489257813,91,143,52,0.363636363636364
24774_d,15293.8946533203,-1202.76489257813,67,220,77,0.35
24774_d,15293.8946533203,-1152.76489257813,87,148,68,0.45945945945946
24774_d,15293.8946533203,-1102.76489257813,109,63,49,0.777777777777778
24774_d,15343.8946533203,-1452.76489257813,107,60,27,0.45
24774_d,15343.8946533203,-1402.76489257813,82,122,39,0.319672131147541
24774_d,15343.8946533203,-1202.76489257813,68,159,55,0.345911949685535
24774_d,15343.8946533203,-1152.76489257813,81,97,44,0.45360824742268
24774_d,15343.8946533203,-1102.76489257813,100,52,34,0.653846153846154
24774_d,15393.8946533203,-1452.76489257813,128,30,7,0.233333333333333
24774_d,15393.8946533203,-1402.76489257813,106,63,19,0.301587301587302
24774_d,15393.8946533203,-1352.76489257813,85,91,22,0.241758241758242
24774_d,15393.8946533203,-1202.76489257813,64,96,26,0.270833333333333
24774_d,15393.8946533203,-1152.76489257813,74,63,15,0.238095238095238
24774_d,15393.8946533203,-1102.76489257813,90,35,12,0.342857142857143
24774_d,15443.8946533203,-1402.76489257813,124,35,19,0.542857142857143
24774_d,15443.8946533203,-1352.76489257813,108,42,22,0.523809523809524
24774_d,15443.8946533203,-1302.76489257813,82,50,22,0.44
24774_d,15443.8946533203,-1252.76489257813,61,55,23,0.418181818181818
24774_d,15443.8946533203,-1202.76489257813,64,41,17,0.414634146341463
24774_d,15493.8946533203,-1252.76489257813,71,30,13,0.433333333333333
24774_d,15693.8946533203,-1052.76489257813,76,32,4,0.125
24774_d,15743.8946533203,-1052.76489257813,62,39,6,0.153846153846154
24774_d,15793.8946533203,-1502.76489257813,93,32,18,0.5625
24774_d,15793.8946533203,-1452.76489257813,81,37,22,0.594594594594595
