sample,x0,y0,n_hep,n_cd4,n_interact_proxy,interact_frac
56784_c,13450.40965271,-10130.3745117188,100,37,23,0.621621621621622
56784_c,13450.40965271,-10080.3745117188,78,48,27,0.5625
56784_c,13450.40965271,-10030.3745117188,71,49,16,0.326530612244898
56784_c,13450.40965271,-9980.37451171875,82,67,13,0.194029850746269
56784_c,13450.40965271,-9930.37451171875,92,79,14,0.177215189873418
56784_c,13450.40965271,-9880.37451171875,100,87,12,0.137931034482759
56784_c,13450.40965271,-9830.37451171875,103,85,8,0.0941176470588235
56784_c,13450.40965271,-9780.37451171875,112,78,10,0.128205128205128
56784_c,13450.40965271,-9730.37451171875,102,62,15,0.241935483870968
56784_c,13450.40965271,-9680.37451171875,100,52,17,0.326923076923077
56784_c,13450.40965271,-9630.37451171875,90,40,20,0.5
56784_c,13450.40965271,-9580.37451171875,80,40,21,0.525
56784_c,13450.40965271,-9530.37451171875,77,37,21,0.567567567567568
56784_c,13450.40965271,-9480.37451171875,80,44,28,0.636363636363636
56784_c,13450.40965271,-9430.37451171875,76,49,32,0.653061224489796
56784_c,13450.40965271,-9380.37451171875,65,58,31,0.53448275862069
56784_c,13500.40965271,-10130.3745117188,97,31,17,0.548387096774194
56784_c,13500.40965271,-10080.3745117188,70,58,21,0.362068965517241
56784_c,13500.40965271,-9780.37451171875,60,128,9,0.0703125
56784_c,13500.40965271,-9680.37451171875,65,69,18,0.260869565217391
56784_c,13500.40965271,-9630.37451171875,74,47,19,0.404255319148936
56784_c,13500.40965271,-9580.37451171875,79,43,22,0.511627906976744
56784_c,13500.40965271,-9530.37451171875,94,33,20,0.606060606060606
56784_c,13500.40965271,-9480.37451171875,108,37,25,0.675675675675676
56784_c,13500.40965271,-9430.37451171875,108,37,25,0.675675675675676
56784_c,13500.40965271,-9380.37451171875,100,48,27,0.5625
56784_c,13500.40965271,-9330.37451171875,81,82,26,0.317073170731707
56784_c,13500.40965271,-9030.37451171875,65,124,14,0.112903225806452
56784_c,13500.40965271,-8980.37451171875,87,45,10,0.222222222222222
56784_c,13550.40965271,-10130.3745117188,68,30,14,0.466666666666667
56784_c,13550.40965271,-9630.37451171875,65,59,18,0.305084745762712
56784_c,13550.40965271,-9580.37451171875,90,44,20,0.454545454545455
56784_c,13550.40965271,-9480.37451171875,138,31,25,0.806451612903226
56784_c,13550.40965271,-9430.37451171875,144,30,26,0.866666666666667
56784_c,13550.40965271,-9380.37451171875,138,38,28,0.736842105263158
56784_c,13550.40965271,-9330.37451171875,112,69,29,0.420289855072464
56784_c,13550.40965271,-9280.37451171875,82,118,24,0.203389830508475
56784_c,13550.40965271,-9080.37451171875,69,177,19,0.107344632768362
56784_c,13550.40965271,-9030.37451171875,101,123,19,0.154471544715447
56784_c,13550.40965271,-8980.37451171875,134,45,10,0.222222222222222
56784_c,13600.40965271,-9630.37451171875,88,48,15,0.3125
56784_c,13600.40965271,-9580.37451171875,119,35,20,0.571428571428571
56784_c,13600.40965271,-9330.37451171875,134,47,22,0.468085106382979
56784_c,13600.40965271,-9280.37451171875,98,82,21,0.25609756097561
56784_c,13600.40965271,-9230.37451171875,71,119,23,0.19327731092437
56784_c,13600.40965271,-9130.37451171875,64,133,19,0.142857142857143
56784_c,13600.40965271,-9080.37451171875,99,108,19,0.175925925925926
56784_c,13600.40965271,-9030.37451171875,138,72,19,0.263888888888889
56784_c,13650.40965271,-9680.37451171875,80,66,13,0.196969696969697
56784_c,13650.40965271,-9630.37451171875,111,43,16,0.372093023255814
56784_c,13650.40965271,-9580.37451171875,137,32,21,0.65625
56784_c,13650.40965271,-9330.37451171875,136,38,22,0.578947368421053
56784_c,13650.40965271,-9280.37451171875,105,64,23,0.359375
56784_c,13650.40965271,-9230.37451171875,88,78,23,0.294871794871795
56784_c,13650.40965271,-9180.37451171875,79,80,23,0.2875
56784_c,13650.40965271,-9130.37451171875,83,75,15,0.2
56784_c,13650.40965271,-9080.37451171875,123,55,13,0.236363636363636
56784_c,13700.40965271,-9730.37451171875,63,69,6,0.0869565217391304
56784_c,13700.40965271,-9680.37451171875,105,44,9,0.204545454545455
56784_c,13700.40965271,-9630.37451171875,139,31,12,0.387096774193548
56784_c,13700.40965271,-9330.37451171875,144,30,19,0.633333333333333
56784_c,13700.40965271,-9280.37451171875,112,42,19,0.452380952380952
56784_c,13700.40965271,-9230.37451171875,107,46,20,0.434782608695652
56784_c,13700.40965271,-9180.37451171875,108,45,20,0.444444444444444
56784_c,13700.40965271,-9130.37451171875,114,40,12,0.3
56784_c,13750.40965271,-9730.37451171875,65,44,5,0.113636363636364
56784_c,14000.40965271,-8780.37451171875,142,40,29,0.725
56784_c,14000.40965271,-8730.37451171875,114,44,30,0.681818181818182
56784_c,14000.40965271,-8680.37451171875,82,46,31,0.673913043478261
56784_c,14050.40965271,-8830.37451171875,137,34,20,0.588235294117647
56784_c,14050.40965271,-8780.37451171875,114,51,29,0.568627450980392
56784_c,14050.40965271,-8730.37451171875,86,54,29,0.537037037037037
56784_c,14100.40965271,-8830.37451171875,132,43,21,0.488372093023256
56784_c,14100.40965271,-8780.37451171875,99,61,31,0.508196721311475
56784_c,14100.40965271,-8730.37451171875,71,64,31,0.484375
56784_c,14150.40965271,-8830.37451171875,126,50,20,0.4
56784_c,14150.40965271,-8780.37451171875,89,65,27,0.415384615384615
56784_c,14150.40965271,-8730.37451171875,62,68,27,0.397058823529412
56784_c,14200.40965271,-8830.37451171875,122,51,22,0.431372549019608
56784_c,14200.40965271,-8780.37451171875,96,59,24,0.406779661016949
56784_c,14200.40965271,-8730.37451171875,69,59,24,0.406779661016949
56784_c,14250.40965271,-8830.37451171875,153,40,15,0.375
56784_c,14250.40965271,-8780.37451171875,122,43,17,0.395348837209302
56784_c,14250.40965271,-8730.37451171875,89,45,17,0.377777777777778
56784_c,14300.40965271,-8830.37451171875,185,30,15,0.5
56784_c,14300.40965271,-8780.37451171875,145,40,25,0.625
56784_c,14300.40965271,-8730.37451171875,103,44,25,0.568181818181818
56784_c,14300.40965271,-8680.37451171875,63,43,23,0.534883720930233
56784_c,14350.40965271,-8780.37451171875,167,42,32,0.761904761904762
56784_c,14350.40965271,-8730.37451171875,116,50,37,0.74
56784_c,14350.40965271,-8680.37451171875,76,52,39,0.75
56784_c,14400.40965271,-8780.37451171875,181,38,36,0.947368421052632
56784_c,14400.40965271,-8730.37451171875,131,46,41,0.891304347826087
56784_c,14400.40965271,-8680.37451171875,90,49,44,0.897959183673469
56784_c,14400.40965271,-8630.37451171875,72,49,42,0.857142857142857
56784_c,14400.40965271,-8580.37451171875,61,37,30,0.810810810810811
56784_c,14450.40965271,-8780.37451171875,200,33,31,0.939393939393939
56784_c,14450.40965271,-8730.37451171875,147,41,36,0.878048780487805
56784_c,14450.40965271,-8680.37451171875,113,44,39,0.886363636363636
56784_c,14450.40965271,-8630.37451171875,100,47,40,0.851063829787234
56784_c,14450.40965271,-8580.37451171875,89,38,31,0.81578947368421
56784_c,14500.40965271,-8730.37451171875,147,33,30,0.909090909090909
56784_c,14500.40965271,-8680.37451171875,121,37,34,0.918918918918919
56784_c,14500.40965271,-8630.37451171875,116,41,36,0.878048780487805
56784_c,14500.40965271,-8580.37451171875,113,33,28,0.848484848484848
56784_c,14800.40965271,-9080.37451171875,74,33,12,0.363636363636364
56784_c,14800.40965271,-9030.37451171875,91,40,15,0.375
56784_c,14800.40965271,-8980.37451171875,111,39,15,0.384615384615385
56784_c,14800.40965271,-8930.37451171875,145,38,16,0.421052631578947
56784_c,14800.40965271,-8880.37451171875,157,32,14,0.4375
