sample,x0,y0,n_hep,n_cd4,hep_with_cd4_contact,contact_frac,score
18321_a,1248.78463745117,-2424.14233398438,136,162,15,0.110294117647059,15
18321_a,1248.78463745117,-2374.14233398438,113,173,13,0.115044247787611,13
18321_a,1248.78463745117,-2324.14233398438,97,134,9,0.0927835051546392,9
18321_a,1248.78463745117,-2274.14233398438,76,87,7,0.0921052631578947,7
18321_a,1248.78463745117,-2224.14233398438,52,43,6,0.115384615384615,6
18321_a,1248.78463745117,-2174.14233398438,32,14,4,0.125,4
18321_a,1298.78463745117,-2674.14233398438,196,7,8,0.0408163265306122,8
18321_a,1298.78463745117,-2624.14233398438,191,11,12,0.0628272251308901,12
18321_a,1298.78463745117,-2574.14233398438,161,59,15,0.093167701863354,15
18321_a,1298.78463745117,-2524.14233398438,144,123,12,0.0833333333333333,12
18321_a,1298.78463745117,-2474.14233398438,123,187,10,0.0813008130081301,10
18321_a,1298.78463745117,-2424.14233398438,101,228,10,0.099009900990099,10
18321_a,1298.78463745117,-2374.14233398438,81,254,9,0.111111111111111,9
18321_a,1298.78463745117,-2324.14233398438,73,209,9,0.123287671232877,9
18321_a,1298.78463745117,-2274.14233398438,62,145,7,0.112903225806452,7
18321_a,1298.78463745117,-2224.14233398438,45,79,6,0.133333333333333,6
18321_a,1298.78463745117,-2174.14233398438,30,34,4,0.133333333333333,4
18321_a,1348.78463745117,-2674.14233398438,156,7,8,0.0512820512820513,8
18321_a,1348.78463745117,-2624.14233398438,153,12,15,0.0980392156862745,15
18321_a,1348.78463745117,-2574.14233398438,124,62,20,0.161290322580645,20
18321_a,1348.78463745117,-2524.14233398438,108,127,18,0.166666666666667,18
18321_a,1348.78463745117,-2474.14233398438,85,202,16,0.188235294117647,16
18321_a,1348.78463745117,-2424.14233398438,67,252,16,0.238805970149254,16
18321_a,1348.78463745117,-2374.14233398438,44,282,13,0.295454545454545,13
18321_a,1348.78463745117,-2324.14233398438,41,239,10,0.24390243902439,10
18321_a,1348.78463745117,-2274.14233398438,41,178,8,0.195121951219512,8
18321_a,1348.78463745117,-2224.14233398438,40,101,7,0.175,7
18321_a,1348.78463745117,-2174.14233398438,30,47,5,0.166666666666667,5
