sample,x0,y0,n_hep,n_cd4,hep_with_cd4_contact,contact_frac,score
54023_b,1543.95310974121,-10883.6330566406,42,9,5,0.119047619047619,5
54023_b,1543.95310974121,-10833.6330566406,56,12,11,0.196428571428571,11
54023_b,1543.95310974121,-10783.6330566406,77,11,25,0.324675324675325,25
54023_b,1543.95310974121,-10733.6330566406,96,10,28,0.291666666666667,28
54023_b,1543.95310974121,-10683.6330566406,126,11,34,0.26984126984127,34
54023_b,1543.95310974121,-10633.6330566406,135,14,46,0.340740740740741,46
54023_b,1543.95310974121,-10583.6330566406,135,14,44,0.325925925925926,44
54023_b,1543.95310974121,-10533.6330566406,134,16,36,0.26865671641791,36
54023_b,1543.95310974121,-10483.6330566406,141,15,28,0.198581560283688,28
54023_b,1543.95310974121,-10433.6330566406,144,14,22,0.152777777777778,22
54023_b,1543.95310974121,-10383.6330566406,158,11,12,0.0759493670886076,12
54023_b,1543.95310974121,-10333.6330566406,169,8,12,0.0710059171597633,12
54023_b,1543.95310974121,-10233.6330566406,176,5,26,0.147727272727273,26
54023_b,1543.95310974121,-10183.6330566406,151,8,24,0.158940397350993,24
54023_b,1543.95310974121,-10133.6330566406,119,12,25,0.210084033613445,25
54023_b,1543.95310974121,-10083.6330566406,96,13,24,0.25,24
54023_b,1543.95310974121,-10033.6330566406,74,12,21,0.283783783783784,21
54023_b,1543.95310974121,-9983.63305664063,42,10,10,0.238095238095238,10
54023_b,1593.95310974121,-10933.6330566406,33,10,14,0.424242424242424,14
54023_b,1593.95310974121,-10883.6330566406,39,9,10,0.256410256410256,10
54023_b,1593.95310974121,-10833.6330566406,54,12,16,0.296296296296296,16
54023_b,1593.95310974121,-10783.6330566406,76,13,28,0.368421052631579,28
54023_b,1593.95310974121,-10733.6330566406,98,11,31,0.316326530612245,31
54023_b,1593.95310974121,-10683.6330566406,125,11,32,0.256,32
54023_b,1593.95310974121,-10633.6330566406,136,13,44,0.323529411764706,44
54023_b,1593.95310974121,-10583.6330566406,143,10,42,0.293706293706294,42
54023_b,1593.95310974121,-10533.6330566406,148,7,36,0.243243243243243,36
54023_b,1593.95310974121,-10483.6330566406,156,7,35,0.224358974358974,35
54023_b,1593.95310974121,-10433.6330566406,156,6,29,0.185897435897436,29
54023_b,1593.95310974121,-10233.6330566406,170,5,26,0.152941176470588,26
54023_b,1593.95310974121,-10183.6330566406,141,8,24,0.170212765957447,24
54023_b,1593.95310974121,-10133.6330566406,111,12,25,0.225225225225225,25
54023_b,1593.95310974121,-10083.6330566406,90,13,25,0.277777777777778,25
54023_b,1593.95310974121,-10033.6330566406,77,14,26,0.337662337662338,26
54023_b,1593.95310974121,-9983.63305664063,47,15,15,0.319148936170213,15
54023_b,1593.95310974121,-9933.63305664063,39,11,10,0.256410256410256,10
54023_b,1593.95310974121,-9883.63305664063,31,7,7,0.225806451612903,7
54023_b,1643.95310974121,-10883.6330566406,31,8,9,0.290322580645161,9
54023_b,1643.95310974121,-10833.6330566406,48,9,12,0.25,12
54023_b,1643.95310974121,-10783.6330566406,67,11,21,0.313432835820896,21
54023_b,1643.95310974121,-10733.6330566406,91,10,24,0.263736263736264,24
54023_b,1643.95310974121,-10683.6330566406,113,8,25,0.221238938053097,25
54023_b,1643.95310974121,-10633.6330566406,127,9,34,0.267716535433071,34
54023_b,1643.95310974121,-10583.6330566406,139,9,36,0.258992805755396,36
54023_b,1643.95310974121,-10533.6330566406,149,6,31,0.208053691275168,31
54023_b,1643.95310974121,-10483.6330566406,157,6,33,0.210191082802548,33
54023_b,1643.95310974121,-10433.6330566406,160,7,30,0.1875,30
54023_b,1643.95310974121,-10383.6330566406,161,5,20,0.124223602484472,20
54023_b,1643.95310974121,-10333.6330566406,160,5,20,0.125,20
54023_b,1643.95310974121,-10283.6330566406,157,7,25,0.159235668789809,25
54023_b,1643.95310974121,-10233.6330566406,143,9,28,0.195804195804196,28
54023_b,1643.95310974121,-10183.6330566406,118,10,26,0.220338983050847,26
54023_b,1643.95310974121,-10133.6330566406,100,15,27,0.27,27
54023_b,1643.95310974121,-10083.6330566406,87,17,26,0.298850574712644,26
54023_b,1643.95310974121,-10033.6330566406,77,22,26,0.337662337662338,26
54023_b,1643.95310974121,-9983.63305664063,50,26,14,0.28,14
54023_b,1643.95310974121,-9933.63305664063,43,30,9,0.209302325581395,9
