condition,from_label,to_label,mean_enrichm,mean_original,mean_p_higher_orig,mean_p_lower_orig,mean_PI_value,n_samples
AIH,Ig+ hepatocyte,Stellate cell,-0.771716550053444,116,1,0,-2.31514965016033,2
AIH,Ig+ hepatocyte,Vascular endothelial cell,-0.835868696973454,26.5,0.9985,0.002,-2.199361716754,2
AIH,IgG+ B cell,IgG+ B cell,2.41924569501655,1371.5,0,1,7.25773708504965,2
AIH,IgG+ B cell,IgG+ plasmablast / plasma cell,1.43369139003408,1954.5,0,1,4.30107417010223,2
AIH,IgG+ B cell,IgM+ B cell,0.272849748437103,442,0.2495,0.7575,0.81981445480865,2
AIH,IgG+ B cell,Macrophage 1,-1.30811475512696,566,1,0,-3.92434426538089,2
AIH,IgG+ B cell,Macrophage 2,0.288502302297308,1358.5,0,1,0.865506906891925,2
AIH,IgG+ B cell,Sinusoidal endothelial cell,-1.94280797464272,100,1,0,-5.82842392392815,2
AIH,IgG+ B cell,Stellate cell,0.191304438946645,1277.5,0.5,0.5,0.573913316839935,2
AIH,IgG+ B cell,Vascular endothelial cell,0.691963293518029,473.5,0.136,0.8735,2.00595542571967,2
AIH,IgG+ plasmablast / plasma cell,IgG+ plasmablast / plasma cell,1.91626978458201,1961,0,1,5.74880935374604,2
AIH,IgG+ plasmablast / plasma cell,IgM+ B cell,-0.0229482098599895,538.5,0.5195,0.482,-0.1554340252465,2
AIH,IgG+ plasmablast / plasma cell,Macrophage 1,-0.391900000761765,1522,1,0,-1.17570000228529,2
AIH,IgG+ plasmablast / plasma cell,Macrophage 2,0.154966482536336,1788.5,0.4215,0.58,0.499221947986706,2
AIH,IgG+ plasmablast / plasma cell,Sinusoidal endothelial cell,-1.57422990396274,189.5,1,0,-4.72268971188823,2
AIH,IgG+ plasmablast / plasma cell,Stellate cell,-0.173063871800145,1449.5,0.534,0.4685,-0.583726138573198,2
AIH,IgG+ plasmablast / plasma cell,Vascular endothelial cell,0.301555372144787,504.5,0.5,0.5,0.904666116434362,2
AIH,IgM+ B cell,IgM+ B cell,2.668301036921,868.5,0,1,8.00490311076301,2
AIH,IgM+ B cell,Macrophage 1,-0.908960761710405,550.5,1,0,-2.72688228513121,2
AIH,IgM+ B cell,Macrophage 2,0.269716811773651,1035,0,1,0.809150435320954,2
AIH,IgM+ B cell,Sinusoidal endothelial cell,-1.536284129838,96,1,0,-4.60885238951401,2
