from_label,to_label,AIH_enrich,irHep_enrich,delta_enrichm,sig_aih_strict,sig_irh_strict,sig_aih_relaxed,sig_irh_relaxed,sig_category_strict,sig_category_relaxed,robust_count_strict,robust_count_relaxed
CD8+ T cell 3,Hepatocyte 3,-0.226826594906844,-1.50635023618842,-1.27952364128158,FALSE,TRUE,FALSE,TRUE,irHep_only,irHep_only,1,1
CD4+ T cell,Hepatocyte 4,-2.0896102110895,-3.48979070485742,-1.40018049376792,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 3,Ig+ hepatocyte,0.352252300116168,-1.04858997312754,-1.40084227324371,FALSE,FALSE,FALSE,FALSE,neither,neither,0,0
Hepatocyte 1,Ig+ hepatocyte,0.783910256394901,-0.629364691055666,-1.41327494745057,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
CD8+ T cell 2,Hepatocyte 4,1.14512999216354,-0.275938896486779,-1.42106888865032,TRUE,FALSE,TRUE,FALSE,AIH_only,AIH_only,1,1
Hepatocyte 3,IgG+ plasmablast / plasma cell,-1.6407040732681,-3.14910404554235,-1.50839997227425,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD4+ T cell,Hepatocyte 1,-2.01638137640742,-3.65432082642911,-1.6379394500217,TRUE,TRUE,TRUE,TRUE,both,both,2,2
IgM+ B cell,Sinusoidal endothelial cell,-1.53628412983801,-3.23801265877021,-1.7017285289322,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Hepatocyte 3,IgM+ B cell,-1.59014402147503,-3.44816872181571,-1.85802470034068,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD4+ T cell,Hepatocyte 2,-2.13443368194651,-4.23694455303975,-2.10251087109325,TRUE,TRUE,TRUE,TRUE,both,both,2,2
Ig+ hepatocyte,Ig+ hepatocyte,2.68611881966194,0.485689965026635,-2.2004288546353,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD4+ T cell,Sinusoidal endothelial cell,-1.2622121610204,-3.86787714703376,-2.60566498601337,TRUE,TRUE,TRUE,TRUE,both,both,2,2
CD4+ T cell,Hepatocyte 3,-1.28020363384255,-4.10697924618292,-2.82677561234038,TRUE,TRUE,TRUE,TRUE,both,both,2,2
