cluster_from,cluster_to,AIH,irHepatitis,diff
4,11,-0.594884510870736,-1.44625146241697,-0.851366951546235
14,11,-2.60206818380595,-3.45042757906841,-0.848359395262461
1,18,0.325758891665559,-0.51713749181133,-0.842896383476888
14,21,0,-0.831175324441218,-0.831175324441218
21,14,0,-0.831175324441218,-0.831175324441218
16,3,-1.88847820530869,-1.05803232621561,0.830445879093077
10,19,-1.53025093987352,-2.3580384477,-0.827787507826483
11,19,-1.21368811772972,-2.03848618407656,-0.824798066346844
9,19,-1.4426515224532,-0.624460392674138,0.818191129779066
18,7,-3.16309045889371,-3.97699350695858,-0.813903048064878
16,5,-0.653157270079264,0.147732766810067,0.800890036889331
2,5,-0.959175475360025,-0.160897396438857,0.798278078921169
17,21,0,0.794195117948162,0.794195117948162
18,1,0.242289244314131,-0.549768496051296,-0.792057740365427
20,14,-1.67900789521823,-0.898003068920158,0.78100482629807
11,4,-0.532743335829414,-1.3100914387246,-0.777348102895187
17,15,-0.0267756076974176,-0.803516794666559,-0.776741186969141
18,18,1.62428518338125,2.39137075672945,0.767085573348202
10,6,0.192782841432246,-0.571867152304153,-0.764649993736399
1,10,0.0162810077383851,-0.742620860337579,-0.758901868075964
9,5,-0.678295254858892,0.0802451407886879,0.75854039564758
7,5,-0.414762325364598,0.342304736419885,0.757067061784482
2,2,-0.445972536837006,0.308616514479279,0.754589051316285
3,11,-0.721739872975311,-1.46412687782511,-0.742387004849795
16,1,-4.50754249694493,-5.24806073696288,-0.740518240017942
20,4,-1.50766151296902,-0.779570891213213,0.72809062175581
15,5,-1.39980012774245,-0.675142101650919,0.724658026091529
19,11,-0.961501094132914,-1.68484922946186,-0.723348135328945
20,3,-1.07665794493661,-0.35884316067358,0.717814784263032
15,1,-0.184360256984898,-0.887781039236508,-0.70342078225161
8,7,-1.66974930379254,-0.968793610968759,0.700955692823784
2,14,-1.31518617835693,-0.628912110493819,0.68627406786311
19,18,0.0921679333009965,-0.587812324203378,-0.679980257504374
8,5,-0.504715168832004,0.173496492750909,0.678211661582912
15,6,-0.202750429732645,-0.879334272284944,-0.676583842552299
13,15,-4.0535111057477,-3.37810785341706,0.675403252330639
5,18,-2.64554398981342,-1.97045471173264,0.675089278080787
3,10,-1.58855073310253,-2.25769211421967,-0.669141381117134
2,15,-1.05894376911446,-1.72296552261595,-0.664021753501489
20,1,-0.516437863946217,-1.17759908932581,-0.661161225379596
3,18,-1.36567690023057,-2.0253809386435,-0.659704038412926
5,10,-1.66281213524477,-2.3146337790897,-0.651821643844929
13,8,-1.64801952523747,-0.99693422296895,0.651085302268515
9,3,-1.22480952699491,-0.577622158255049,0.647187368739857
14,9,-0.692438618727792,-0.0454068110727752,0.647031807655017
8,6,-3.24526220039865,-2.60070031376997,0.64456188662868
11,14,-2.33903377797216,-2.98330156864111,-0.644267790668957
14,2,-2.08949616691991,-1.44625880420858,0.643237362711322
20,19,-1.25996263610206,-0.61979202145714,0.640170614644917
19,3,-0.636538559552395,-0.00818578464457361,0.628352774907822
2,10,-1.49998049438923,-2.12660141488437,-0.626620920495143
3,1,-1.35710989969348,-1.97941645481955,-0.622306555126072
5,7,-0.91033527795167,-0.293438807567521,0.616896470384149
8,20,-0.500112569785255,-1.11616669631311,-0.616054126527856
5,5,-0.186698743289895,0.425095847887592,0.611794591177487
3,6,-1.48196228125938,-2.09251705904658,-0.610554777787204
17,16,-3.25768654527051,-2.65251707238608,0.605169472884436
4,17,-2.52805976498566,-1.9309437175429,0.597116047442758
5,13,-0.869150460097232,-0.274775763187478,0.594374696909754
3,14,-2.21863638545022,-1.6311935115458,0.587442873904419
3,9,-1.40122157808095,-0.815781895449813,0.585439682631136
8,16,-1.57957232166136,-0.995224286044127,0.584348035617229
1,4,-1.50037612978304,-0.921626364143524,0.578749765639516
11,17,-1.17148283601257,-1.74897956688157,-0.577496730869008
15,17,-0.184496469552604,-0.761696618971932,-0.577200149419328
12,2,-2.40513487187996,-1.83050625177806,0.574628620101895
5,9,-0.99478263289874,-0.420183849720801,0.57459878317794
3,19,-0.846933447789251,-0.273646927872907,0.573286519916343
9,8,-1.39478863569416,-1.96313004013546,-0.568341404441309
17,11,-0.598904059747242,-1.16401706616042,-0.565113006413176
19,19,1.56912202977209,2.13288887903722,0.563766849265133
14,12,-0.213484462616397,-0.775095398108851,-0.561610935492455
5,20,-1.84765715239912,-2.4084297202744,-0.560772567875278
13,3,-2.51592912023734,-1.97570178718707,0.540227333050275
11,5,-1.56974318446087,-2.10904339312017,-0.539300208659308
3,3,-0.0486541671550881,0.489764137585894,0.538418304740982
5,16,-0.817657672599415,-0.279377564769352,0.538280107830063
11,9,-2.55222172901066,-3.09024089829326,-0.538019169282607
1,19,-0.888889768690122,-1.42488716662733,-0.53599739793721
2,9,-0.983488971000687,-0.451676603448274,0.531812367552413
6,4,-1.58357339644434,-1.05909735511794,0.524476041326396
13,5,-0.851109904537019,-0.327887099647041,0.523222804889978
21,10,0,0.519471034150921,0.519471034150921
21,6,0,-0.519150558855769,-0.519150558855769
14,4,-0.469396525844333,0.0483360005372149,0.517732526381548
17,3,-0.678303882227318,-0.16153656155137,0.516767320675948
3,13,-2.24029467762391,-1.72777427374348,0.512520403880433
12,16,-1.02731796195982,-1.53731747077129,-0.509999508811478
17,4,-2.03082611363598,-1.52655346246356,0.504272651172411
20,15,-0.370471097225449,-0.872057853743048,-0.501586756517599
7,8,-1.75276989056044,-1.25172757424026,0.501042316320183
1,8,-2.76021063494792,-2.26431303631053,0.49589759863739
18,20,-0.220520772821076,-0.713510216163308,-0.492989443342232
6,3,-0.888342347540676,-1.37494933749163,-0.486606989950956
9,4,-1.00059222866138,-0.515452600725651,0.485139627935727
1,3,-0.675217548678226,-1.16028960671773,-0.485072058039508
19,12,-1.81916250632221,-1.34354391431108,0.475618592011128
18,9,-2.643140768059,-2.16950221414144,0.473638553917556
10,11,-0.919607845888426,-0.44610444655186,0.473503399336566
10,8,-2.14102038019192,-2.61418202895176,-0.473161648759842
15,3,-0.0920107582291646,0.376310152954719,0.468320911183884
8,4,-1.30219740824711,-0.839368812844326,0.462828595402782
12,13,0.355909355747411,-0.105372431063868,-0.461281786811278
4,14,-0.415007396306988,0.0462034132444025,0.461210809551391
4,1,-2.42091869108369,-1.96082142694462,0.460097264139068
2,1,-1.55066837776497,-2.01065290041561,-0.459984522650639
18,3,-0.763955881248051,-1.22392661802558,-0.45997073677753
14,13,-0.325557871846586,0.131198442451752,0.456756314298338
8,15,-2.45850592416648,-2.91192761399951,-0.453421689833027
8,9,-1.24086323011808,-0.793205038693152,0.447658191424925
15,13,-3.82524211807459,-3.37810785341706,0.447134264657521
16,6,-4.22679764275067,-3.78275438699808,0.44404325575259
17,7,-2.58586992845451,-2.14194319123509,0.443926737219414
11,15,-0.972696298231199,-1.41494681864091,-0.442250520409708
5,8,-0.872579547886225,-0.43330180921072,0.439277738675505
15,20,-0.433664923712643,-0.872057853743048,-0.438392930030405
19,17,-0.412329610558922,0.0259736751207131,0.438303285679635
2,3,-0.557911018765516,-0.121158161251014,0.436752857514502
12,14,-0.459734284154627,-0.896401694330985,-0.436667410176358
14,3,-2.45567558275107,-2.01935530483325,0.436320277917819
6,20,-0.410234746290786,-0.841992390748333,-0.431757644457547
3,2,-0.771044485495636,-0.34119772252659,0.429846762969046
5,21,0,0.427186695220063,0.427186695220063
10,1,-0.410575007354042,-0.835399535722708,-0.424824528368667
11,20,-1.6916943477979,-2.1132181943159,-0.421523846517998
21,4,0,-0.420152182321982,-0.420152182321982
20,2,-1.04513787398475,-1.46342168749477,-0.418283813510027
15,10,-0.512660590899678,-0.930423718446534,-0.417763127546856
4,6,-2.29112250263381,-1.87488991018167,0.416232592452134
8,21,0,-0.415357655458204,-0.415357655458204
21,8,0,-0.415357655458204,-0.415357655458204
11,18,-0.999844625782665,-1.41447357659704,-0.41462895081438
14,15,-4.92889211603246,-4.51611485341057,0.412777262621888
6,9,-3.07190827579697,-2.65978406511762,0.412124210679348
4,9,-1.19883276949729,-0.789627564164645,0.409205205332648
21,2,0,0.389573065410941,0.389573065410941
18,17,0.0641548800578681,-0.324777918369584,-0.388932798427452
13,4,-0.936329198548139,-0.551991911188764,0.384337287359374
10,4,-1.67819012364421,-1.29647001103768,0.381720112606532
20,10,-0.899871916833248,-1.27635492254532,-0.376483005712068
8,13,-1.00521294994403,-0.634364143584242,0.370848806359784
1,2,-1.03965226156274,-1.40556369984254,-0.365911438279795
16,8,-1.77093784737718,-1.41026178532297,0.360676062054208
